province	province_id	district	district_id	moh	moh_id	gnd	gnd_id	center	vaccine	dose1	dose2
Western	LK-1	Gampaha	LK-12	Gampaha	MOH-12240			GALAHITIYAWA MADYAMAHAVIDYALAYA	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Gampaha	MOH-12240			MUNICIPAL COUNCIL GAMPAHA	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Minuwangoda	MOH-12150			 MINUWANGODA RAJAMAHAWIHARAYA	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Minuwangoda	MOH-12150			KOROSA BEHETH SHALAWA	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Minuwangoda	MOH-12150			MOH OFFICE	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Wattala	MOH-12182			MOBILE	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				CNTH Ragama	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DGH Gampaha	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DGH Negombo	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				BH Wathupitiwala	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				BH Kiribathgoda	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				BH Minuwangoda	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				BH Mirigama	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Udupila	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Pamunugama	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Biyagama 	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Dompe	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Divulapitiya	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Jaela	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Malwathuhiripitiya	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Radawana	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Akaragama	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				DH Kandana	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				CH Welisara	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				Wijayakumarathunga Hospital	Sinopharm	False	False
Western	LK-1	Gampaha	LK-12	Hospitals				Faculty of Medicine Ragama	Sinopharm	False	False
Western	LK-1	NIHS		Beruwala	MOH-13240			Mobile vaccination programme	Sinopharm	False	False
Western	LK-1	NIHS		Beruwala	MOH-13240			MOH Beruwala	Sinopharm	False	False
Western	LK-1	NIHS		Kalutara	MOH-13211			Mahaheenatiyangala Clinic	Sinopharm	False	False
Western	LK-1	NIHS		Kalutara	MOH-13211			Alwiswatta Clinic	Sinopharm	False	False
Western	LK-1	NIHS		Kalutara	MOH-13211			Siri Seewali Ground	Sinopharm	False	False
Western	LK-1	NIHS		Kalutara	MOH-13211			Vilegoda Temple	Sinopharm	False	False
Western	LK-1	NIHS		Kalutara	MOH-13211			Infront of Jayadasa Hotel	Sinopharm	False	False
Western	LK-1	NIHS		Kalutara	MOH-13211			Panvilahena Temple	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Horana	MOH-13090			Mobile vaccination Programme	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Wadduwa				Dibbadda Jayawardenarama Temple	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Bandaragama	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Naboda	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				BH Pimbura	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Baduraliya	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Ingiriya	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Mathugama	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Bulathsinhala	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Gonaduwa	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				BH Panadura	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Meegahathenna	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Dodangoda	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Galpatha	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Katugahahena	Sinopharm	False	False
Western	LK-1	Kalutara	LK-13	Hospitals				DH Iththapana	Sinopharm	False	False
Southern	LK-3	Galle	LK-31	Habaraduwa	MOH-31540			Shariputhra M.V Ahangama 	Sinopharm	False	False
Southern	LK-3	Galle	LK-31	Neluwa	MOH-31210			MOH office +DH Neluwa 	Sinopharm	False	False
Southern	LK-3	Galle	LK-31	Niyagama	MOH-31150			Hattaka Temple 	Sinopharm	False	False
Southern	LK-3	Galle	LK-31	Udugama				Nagoda Royal school+ Udawelwitiya college	Sinopharm	False	False
Southern	LK-3	Galle	LK-31	Thawalama	MOH-31180			Opatha MV School	Sinopharm	False	False
Southern	LK-3	Matara	LK-32	Akuressa	MOH-32180			Boliyadda Puwakwaththa temple	Sinopharm	False	False
Southern	LK-3	Matara	LK-32	Kotapola	MOH-32060			Kiriweldola School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Angunukolapeles	MOH-33180			Mahanaga School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Pallattara West	LK-3330015	Pallaththara MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Pallattara South	LK-3330020	Pallaththara MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Pallattara East	LK-3330025	Pallaththara MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Dammulla West	LK-3330065	Pallaththara MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Dammulla East	LK-3330060	Pallaththara MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Kosgahagoda	LK-3330110	Pallaththara MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Agulmaduwa	LK-3330115	Pallaththara MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Mahaheella North	LK-3330260	Getamanna South MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Getamanna South	LK-3330265	Getamanna South MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Getamanna East	LK-3330165	Getamanna South MV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Maligathenna	LK-3330005	Tharaperiya KV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Tharaperiya	LK-3330075	Tharaperiya KV	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Puwakdandawa East	LK-3330200	Puwakdandawa Girls School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Pahalagoda	LK-3330230	Puwakdandawa Girls School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Sitinamaluwa West	LK-3330210	Puwakdandawa Girls School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Mihindupura	LK-3306090	Puwakdandawa Girls School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Beliatta	MOH-33300	Medagoda	LK-3318135	Puwakdandawa Girls School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Hambantota	MOH-33120			Siribopur Tzuchi National School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Hambantota	MOH-33120			Samodagama School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Hambantota	MOH-33120			Nibarama Temple	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Hambantota	MOH-33120			Galwewa Primary School / Rotary Primary 	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Okewela	MOH-33270	60 > 1st and 2nd 		Moradawana M.V	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Okewela	MOH-33270	Pregnat Mother		Moradawana M.V	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Konkarahena	LK-3325030	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Welandagoda	LK-3325095	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Haggitha Kanda North	LK-3325025	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Horewela	LK-3325200	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Ethpitiya	LK-3325190	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Yahalmulla	LK-3325215	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Medagamgoda	LK-3325210	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Wattehengoda	LK-3325195	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Agalabada	LK-3325155	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Walasmulla	MOH-33250	Mapitakanda	LK-3325035	Dammananda School - Kirama	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Lunugamvehera	MOH-33060			Samanpura Maha Vidyalaya	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Weeraketiya	MOH-33210			Bedigama School	Sinopharm	False	False
Southern	LK-3	Hambantota	LK-33	Weeraketiya	MOH-33210			DGH Hambantota	Sinopharm	False	False
Central	LK-2	Nuwara Eliya	LK-23	MOP-up vaccination  in all MOH areas		Mapita kanda		DGH Hambantota	Sinopharm	False	False
Central	LK-2	Matale	LK-22	MOP-up vaccination  in all MOH areas				DGH Hambantota	Sinopharm	False	False
Central	LK-2	Kandy	LK-21	Bambaradeniya	MOH-21391			Al Kadija Kubra GMV	Moderna	False	True
Central	LK-2	Kandy	LK-21	Bambaradeniya	MOH-21391			Welamboda Maha Vidyalaya	Moderna	False	True
Central	LK-2	Kandy	LK-21	Kandy MC				St. Anthoney's College	Moderna	False	True
Central	LK-2	Kandy	LK-21	Kandy MC				DS Senanayake Vidyalaya	Moderna	False	True
Central	LK-2	Kandy	LK-21	Kandy MC				St. Sylvesters College (Junior School)	Moderna	False	True
Central	LK-2	Kandy	LK-21	Yatinuwara	MOH-21360			Menikdiwela Maha Vidyalaya	Moderna	False	True
Central	LK-2	Kandy	LK-21	Yatinuwara	MOH-21360			Balana Kanishta Vidyalaya	Moderna	False	True
Central	LK-2	Kandy	LK-21	Yatinuwara	MOH-21360			Dodamwela MV	Moderna	False	True
Central	LK-2	Kandy	LK-21	Hasalaka				Kolongoda Central College	Moderna	False	True
Central	LK-2	Kandy	LK-21	Hasalaka				Ulpathagama kanishta vidyalaya	Moderna	False	True
Central	LK-2	Kandy	LK-21	Hasalaka				Ranasingha Premadasa Central College	Moderna	False	True
Central	LK-2	Kandy	LK-21	Hasalaka				Hadaganawa Maha Vidyalaya	Moderna	False	True
Sabaragamuwa	LK-9	Ratnapura	LK-91	Ayagama	MOH-91300	Vithanagama	LK-9130070	R/ Vithanagama Vidyalaya	Sinopharm	False	False
Sabaragamuwa	LK-9	Ratnapura	LK-91	Ayagama	MOH-91300	Sinhalagoda	LK-9130035	R/ Sinhalagoda Vidyalaya	Sinopharm	False	False
Sabaragamuwa	LK-9	Ratnapura	LK-91	Elapatha	MOH-91270	Kehelovitigama	LK-9127035	R/ Kehelovitigama Vidyalaya	Sinopharm	False	False
Sabaragamuwa	LK-9	Ratnapura	LK-91	Elapatha	MOH-91270	Magurugoda	LK-9127095	R/ Hangamuwa Sri Rathnodaya Maha Vidyalaya	Sinopharm	False	False
Sabaragamuwa	LK-9	Ratnapura	LK-91	Pelmadulla	MOH-91121	Ihala Hakamuwa	LK-9124085	Ihala Hakamuwa Community Hall	Sinopharm	False	False
Sabaragamuwa	LK-9	Ratnapura	LK-91	Pelmadulla	MOH-91121	Ihala Bopitiya	LK-9124150	Sri Gnanarama Temple	Sinopharm	False	False
Sabaragamuwa	LK-9	Ratnapura	LK-91	Pelmadulla	MOH-91121	Halpawala	LK-9124155	Handurukanda Vidyalaya	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Alawwa	MOH-61840	Wennoruwa West	LK-6184015	Wennoruwa School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Alawwa	MOH-61840	Wennoruwa East	LK-6184020	Wennoruwa School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Alawwa	MOH-61840	Vilgamuwa Watta	LK-6184010	Wennoruwa School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ambanpola	MOH-61120	Udangawa	LK-6112090	Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ambanpola	MOH-61120	Ambanpola North	LK-6112030	Sanasa Bank	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ambanpola	MOH-61120	Ambanpola South	LK-6112060	Ambanpola Clinic Centre	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ambanpola	MOH-61120	Kirimetiyawa	LK-6112065	Cultural Centre	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Bamunukotuwa	MOH-61491	Panawa	LK-6149010	MOH Office Bamunakotuwa	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Bamunukotuwa	MOH-61491	Pahala Imiyangoda	LK-6149015	MOH Office Bamunakotuwa	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Bamunukotuwa	MOH-61491	Munamalee		MOH Office Bamunakotuwa	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Bingiriya	MOH-61420	P/Kiniyama		Kiniyama Samiti salawa	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Bingiriya	MOH-61420	E/Kiniyama		Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Galgamuwa	MOH-61061	Wewaranawetiya	LK-6106240	Nanneriya School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Galgamuwa	MOH-61061	Kohombankulama	LK-6106120	Nanneriya School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Galgamuwa	MOH-61061	Nithogama	LK-6109100	Ehetuwewa Hospital	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Hiripitiya	LK-6133145	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Makulmade	LK-6133075	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Hidawewa	LK-6133150	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Malagamuwa	LK-6133160	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Wegolla	LK-6133180	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Oyjuwela		HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Hunupola	LK-6133175	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Moragolla	LK-6115080	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Makulwewa	LK-6133185	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Thanthirigama	LK-6133190	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Galagedara	LK-6121125	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Pothuvila	LK-6127130	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Seeradunna	LK-6133200	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ganewatta	MOH-61330	Kanawa	LK-6133205	HIRIPITIYA School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Giribawa	MOH-61030	Perakumpura	LK-6103020	Parakumpura  Sathipola	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Giribawa	MOH-61030	Solepura	LK-6103025	solepura Samithisalawa	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Giribawa	MOH-61030	Halmillagala	LK-6103030	Halmillagala Samithi Salawa	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Ibbagamuwa	MOH-61300	Front Line Workers		Halmillagala Samithi Salawa	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Katupotha	MOH-61492	Horombawa	LK-6169145	Horombawa Minhaj School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Katupotha	MOH-61492	Udagedara	LK-6169140	Horombawa Minhaj School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Kobeigane	MOH-61390	Walaswewa	LK-6106170	Siyambalagaswetiya M.V	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Kobeigane	MOH-61390	Boraluwewa	LK-6139090	Boraluwewa M.V 	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Kobeigane	MOH-61390	Mawathagama	LK-6121030	Mawathagama Samithi Shalawa	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Kotawehera	MOH-61150	Pregnet Mothers (2nd Dose)		MOH Kotawehera	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Maho		 Maho west		Kaikawala Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Maho		Kumbukwewa	LK-6106040	Kaikawala Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Maho		Pailigama	LK-6124150	Yapahuwa Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Maho		Kandubadagama	LK-6124170	Yapahuwa Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Mallawapitiya	MOH-61570	Indulgoda	LK-6157145	Indulgoda Kandha Temple 	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Mallawapitiya	MOH-61570	Manel Oluwa	LK-6157130	Maneloluwa temple 	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Mawathagama	MOH-61600	Yatiwilla 		Yatiwilla Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Mawathagama	MOH-61600	Pothubowa	LK-6160065	Pothubowa School	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Kurunegala	MOH-61540	Madithiyawala	LK-6154245	Maditiyawela Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Kurunegala	MOH-61540	Thorawathura	LK-6154250	Maditiyawela Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Narammala	MOH-61810	Athuruwala	LK-6181230	Dambadeniya Temple	Sinopharm	False	False
North Western	LK-6	Kurunegala	LK-61	Narammala	MOH-61810	Sirigala		Dambadeniya Temple	Sinopharm	False	False
