district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	False	False
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	False
Colombo	Fort	Navy Headquarters	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Kaduwela	MOH Office - Kaduwela	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Colombo	Mt Lavinia	Attidiya Maternity Clinic	False	False
Gampaha	Gampaha	MOH Office - Gampaha	False	False
Gampaha	Gampaha	Municipal Council, Gampaha	False	False
Gampaha	Kadawata	MOH Office - Mahara	False	False
Gampaha	Kadawata	Akbar Town Rahula College	False	False
Gampaha	Kadawata	Bodhiloka Vidyalaya	False	False
Gampaha	Kadawata	Sooriyarachchi Vidyalaya	False	False
Gampaha	Kelaniya	Makulugahawatta Vidyalaya	False	False
Gampaha	Meegahawatta	Delgoda Kalyani Pradeepa Pirivena	False	False
Gampaha	Kiribathgoda	Eriyawetiya Sumanarama Viharaya	False	False
Gampaha	Biyagama	MOH Office - Biyagama	False	False
Gampaha	Minuwangoda	Galahitiyawa Central College	False	False
Gampaha	Minuwangoda	Dewalapola Viharaya	False	False
Gampaha	Minuwangoda	Medagamuwa Maha Vidyalaya	False	False
Gampaha	Pugoda	MOH Office - Dompe	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office - Wattala	False	False
Gampaha	Ragama	MOH Office - Ragama	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Seeduwa	MOH Office - Seeduwa	False	False
Gampaha	Mirigama	Mugurugampola Viharaya	False	False
Gampaha	Pallewela	Pallewela Government Dispensary	False	False
Gampaha	Nittambuwa	Al-Azhar College	False	False
Gampaha	Bemmulla	Pitiyegedara Maha Vidyalaya	False	False
Kalutara	Kalutara South	NIHS	False	False
Kalutara	Beruwala	MOH Office - Beruwala	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Agalawatta	MOH Office - Agalawatta	False	False
Kalutara	Bulathsinhala	Bothalegama Maha Vidyalaya	False	False
Kalutara	Welipenna	Walagedara Health Centre	False	False
Kalutara	Welipenna	Horawala Health Centre	False	False
Kalutara	Wadduwa	Pothupitiya Walukarama Viharaya	False	False
Kalutara	Millaniya	MOH Office - Millaniya	False	False
Kalutara	Matugama	MOH Office - Matugama	False	False
Kalutara	Matugama	MOH Office - Matugama	False	False
Kalutara	Matugama	Weththewa Hospital	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kurunegala	Giriulla	Weththewa Vidyalaya	False	False
Kurunegala	Giriulla	Kaudumunna Vidyalaya	False	False
Kurunegala	Giriulla	Wikramashila National College	False	False
Kurunegala	Giriulla	Bopitiya Maha Vidyalaya	False	False
Kurunegala	Pannala	Rural Secretariat - Irabadagama	False	False
Kurunegala	Pannala	Sandalankawa National College	False	False
Kurunegala	Pannala	Makandura Vidyananda Vidyalaya	False	False
Kurunegala	Pannala	Hettirippuwa Vidyalaya	False	False
Kurunegala	Giribawa	Wannikudawewa Vidyalaya	False	False
Kurunegala	Giribawa	Thambutta Vidyalaya	False	False
Kurunegala	Giribawa	Gribawa Maha Vidyalaya	False	False
Kurunegala	Giribawa	Damsopura Community Hall	False	False
Kurunegala	Nikaweratiya	MOH Office - Nikaweratiya	False	False
Kurunegala	Kobaigane	Hathalawa Clinic	False	False
Kurunegala	Kobaigane	Hengamuwa Vidyalaya	False	False
Kurunegala	Kurunegala	Hettigedara Viharaya	False	False
Kurunegala	Kurunegala	Sir John Kothelawala Vidyalaya	False	False
Kurunegala	Wellawa	Ganewatta National School	False	False
Kurunegala	Weerambugedara	Gallehera Vidyalaya	False	False
Kurunegala	Weerambugedara	Sandagala Vidyaloka Vidyalaya	False	False
Kurunegala	Alawwa	Walakumbura Maha Vidyalaya	False	False
Kurunegala	Alawwa	Nungamuwa Maha Vidyalaya	False	False
Kurunegala	Wariyapola	Padeniya Sunanda Maha Vidyalaya	False	False
Kurunegala	Wariyapola	Narammala Vidyalaya	False	False
Kurunegala	Rideegama	Koswatta Maha Vidyalaya	False	False
Kurunegala	Kalpitiya	MOH Office Kalpitiya	False	False
Kurunegala	Mundalama	MOH Office - Mundalama	False	False
Kurunegala	Marawila	MOH Office - Mahawewa	False	False
Kurunegala	Hasalaka	Ranasingha Premadasa National School	False	False
Kurunegala	Kadugannawa	Menikdiwela Maha Vidyalaya	False	False
Kurunegala	Kadugannawa	Balana Primary College	False	False
Kurunegala	Peradeniya	Dodamwala Maha Vidyalaya	False	False
Kurunegala	Ragala	TBM Herath Maha Vidyalaya	False	False
Kurunegala	Nanu Oya	Pradeshiya Shabaha Hall	False	False
Kurunegala	Pattipola	Meepilimana Senananda Vidyalaya	False	False
Matale	Mathale	Nagolla Vidyalaya	False	False
Matale	Mathale	Kuriwela Ajmer Vidyalaya	False	False
Matale	Mathale	Thenna Maha Vidyalaya	False	False
Matale	Mathale	Laliambe Vidyalaya	False	False
Matale	Mathale	Buddhagosa Vidyalaya	False	False
Matale	Mathale	St. Thomas College	False	False
Matale	Rattota	Pussella Maha Vidyalaya	False	False
Matale	Rattota	Metihakka Multi Task Centre	False	False
Matale	Rattota	Pallepola Hospital	False	False
Matale	Galewela	Thalkiriyagama Viharaya	False	False
Matale	Galewela	Madipola Hospital	False	False
Matale	Galewela	Galewela Hospital	False	False
Matale	Dambulla	Rangiri Dambulla Central College	False	False
Matale	Sigiriya	Inamaluwa Vidyalaya	False	False
Matale	Makulugaswewa	Makulugaswewa Maha Vidyalaya	False	False
Badulla	Badulla	Badulla Hospital	False	False
Badulla	Badulla	Sprinvelly Hospital	False	False
Badulla	Hale Ela	Wepassawela Maha Vidyalaya	False	False
Badulla	Hale Ela	Hali Ela Central College	False	False
Badulla	Hale Ela	Uduwara Purana Viharaya	False	False
Badulla	Hale Ela	Dencil Kobbekaduwa Maha Vidyalaya	False	False
Badulla	Passara	Passara Central College	False	False
Badulla	Passara	DH Passara	False	False
Badulla	Passara	GH Meedumpitiya	False	False
Badulla	Lunugala	DH Lunugala	False	False
Badulla	Lunugala	MOH Office - Lunugala	False	False
Badulla	Lunugala	Divisional Hospital - Hopton	False	False
Badulla	Lunugala	Divisional Hospital - Metigahathenna	False	False
Badulla	Kahataruppa	GH Kahataruppa	False	False
Badulla	Haldummulla	Haldummulla Hospital	False	False
Badulla	Bandarawela	MOH Office - Bandarawela	False	False
Badulla	Welimada	MOH Office - Welimada	False	False
Badulla	Uva Paranagama	District Hospital - Uva Paranagama	False	False
Badulla	Haputale	MOH Office - Haputale	False	False
Monaragala	Badalkumbura	Muthukeliyawa Maha Vidyalaya	False	False
Moneragala	Monaragala	MOH Office - Monaragala	False	False
Moneragala	Monaragala	JJ Apparel Garment	False	False
Moneragala	Dambagalla	MOH Office - Dambagalla	False	False
Moneragala	Siyambalanduwa	Mahakalugolla Primary College	False	False
Moneragala	Siyambalanduwa	Kivuleyaya Maha Vidyalaya	False	False
Moneragala	Siyambalanduwa	Pahathaarawa Primary College	False	False
Moneragala	Ethimale	Kotiyagala Primary College	False	False
Galle	Neluwa	Neluwa National School	False	False
Galle	Opatha	Opatha Maha Vidyalaya	False	False
Galle	Nagoda	Kurupanawa Primary School	False	False
Galle	Yakkalamulla	Polpagoda Dharmapala Vidyalaya	False	False
Galle	Ambalangoda	Dharmasoka Vidyalaya - Ambalangoda	False	False
Galle	Uragasmanhandiya	Dencil Kobbekaduwa Primary College	False	False
Galle	Karandeniya	MOH Office - Karandeniya	False	False
Galle	Elpitiya	Rupakarunathilaka Hall	False	False
Galle	Elpitiya	Kahaduwa Maha Vidyalaya	False	False
Galle	Pitigala	Niyagama Vijitha Maha Vidyalaya	False	False
Galle	Pitigala	Sri Sucharithodayaramaya	False	False
Galle	Hikkaduwa	Hikkaduwa Police Station	False	False
Galle	Akmeemana	Bataduwa Rathanajothi Vidyalaya	False	False
Galle	Akmeemana	Jambuketiya Nila Piyasa	False	False
Galle	Akmeemana	Narawala Vidyalaya	False	False
Galle	Akmeemana	Labuduwa Siridamma Vidyalaya	False	False
Galle	Habaraduwa	Heenatigala Sariputhra Vidyalaya	False	False
Galle	Imaduwa	Havupe Vidyalaya	False	False
Matara	Mawarala	Gomila Central College	False	False
Matara	Dickwella	Kumarthunga Munidasa Maha Vidyalaya	False	False
Matara	Hakmana	Town Hall - Hakmana	False	False
Matara	Weligama	Weligama Siddhartha Maha Vidyalaya	False	False
Matara	Deniyaya	Deniyaya Maha Vidyalaya	False	False
Matara	Akuressa	Army Mobile Vaccination	False	False
Hambantota	Walasmulla	Modarawana Maha Vidyalaya	False	False
Hambantota	Tangalle	MOH Office - Tangalle	False	False
Hambantota	Tangalle	Vitharandeniya Sudarshanagama Primary College	False	False
Hambantota	Beliatta	MOH Office - Beliatta	False	False
Hambantota	Beliatta	Pallaththara Maha Vidyalaya	False	False
Hambantota	Katuwana	MOH Office - Katuwana	False	False
Hambantota	Angunakolapelessa	MOH Office - Angunakolapelessa	False	False
Hambantota	Angunakolapelessa	Jandura Primary College	False	False
Hambantota	Thissamaharamaya	Muthiyammagama Primary College	False	False
Hambantota	Suriyawewa	Viharagala Viharaya	False	False
Hambantota	Suriyawewa	Weniwelara Vidyalaya	False	False
Hambantota	Ambalanthota	Pahala Beragama Vidyalaya	False	False
Hambantota	Ambalanthota	Arawanamulla Viharaya	False	False
Rathnapura	Opanayaka	Millaketiya Vidyalaya	False	False
Rathnapura	Opanayaka	Akarella  Vidyalaya	False	False
Rathnapura	Pinnawala	Sumanadewa Vidyalaya	False	False
Rathnapura	Pinnawala	Gurubewa Vidyalaya	False	False
Rathnapura	Pinnawala	Pinnawala Dispensary	False	False
Rathnapura	Pinnawala	Morahela Dispensary	False	False
Rathnapura	Godakawela	Agaregama Vidyalaya	False	False
Rathnapura	Godakawela	Opatha No. 3 Tamil College	False	False
Rathnapura	Balangoda	Rassagala Vidyalaya	False	False
Rathnapura	Balangoda	Durakanda Vidyalaya	False	False
Rathnapura	Balangoda	Watawala Vidyalaya	False	False
Rathnapura	Balangoda	Godakumbura Vidyalaya	False	False
Rathnapura	Balangoda	Mahawalathenna Vidyalaya	False	False
Rathnapura	Balangoda	Imbulmure Vidyalaya	False	False
Rathnapura	Samanalawewa	Pambahinna Hospital	False	False
Rathnapura	Weligepola	Kandegama Health Centre	False	False
Rathnapura	Weligepola	Yatipasgamuwa Vidyalaya	False	False
Rathnapura	Weligepola	Hatangala Vidyalaya	False	False
Rathnapura	Weligepola	Kottimulwala Viharaya	False	False
