district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	False	False
Colombo	Thalangama	Diyatha Uyana	False	False
Colombo	Thalangama	MOH Office - Battaramulla	False	False
Colombo	Grandpass	Sugathadasa Outdoor Stadium	False	False
Colombo	Grandpass	Nawagampura Viharaya	False	False
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Narahenpita	Army Headquarters Mobile Team	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	False
Colombo	Boralesgamuwa	MOH Office – Werahera	False	False
Colombo	Homagama	Panagoda Bodhirajarama Viharaya	False	False
Colombo	Mount Lavinia	Park Road Maternity Clinic	False	False
Colombo	Maradana	National Hospital – Colombo	False	False
Colombo	Maradana	Arnold Ratnayake Mawatha Community Hall	False	False
Colombo	Padukka	Siripiyarathana Primary School	False	False
Colombo	Dehiwala	S. De. S. Jayasinghe Hall	False	False
Colombo	Wellampitiya	MOH Office – Kolonnawa	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Kaduwela	MOH Office – Kaduwela	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Minuwangoda	Naiwala Viharaya	False	False
Gampaha	Minuwangoda	Polwatta Viharaya	False	False
Gampaha	Minuwangoda	Katuwellegama Maha Vidyalaya	False	False
Gampaha	Gampaha	MOH Office – Gampaha	False	False
Gampaha	Gampaha	Army Headquarters Mobile Team	False	False
Gampaha	Gampaha	Akarawita Viharaya	False	False
Gampaha	Katana	MOH Office - Katana	False	False
Gampaha	Ganemulla	Mahena Community Hall	False	False
Gampaha	Ganemulla	Kossinna Raja Maha Viharaya	False	False
Gampaha	Weeragula	Ogodapola Primary School	False	False
Gampaha	Nittambuwa	Aththanagalla Viharaya	False	False
Gampaha	Nittambuwa	Hakwadunna Viharaya	False	False
Gampaha	Pallewela	Uduulla Viharaya	False	False
Gampaha	Mirigama	Ambepussa Maternity Clinic	False	False
Gampaha	Negombo	Town Hall - Negombo	False	False
Gampaha	Negombo	St.Francis De Sales Church – Kattuwa	False	False
Gampaha	Katunayaka	18th Mile Post Temple	False	False
Gampaha	Kochchikade	Vidyaloka Maha Vidyalaya - Kebellagashandiya	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Gampaha	Kotadeniyawa	Kithulwala Kumarathunga Vidyalaya	False	False
Gampaha	Kotadeniyawa	Fair Premises Badalgama	False	False
Gampaha	Kotadeniyawa	Dorowwa Maha Vidyalaya	False	False
Gampaha	Kotadeniyawa	Madithiyawa Maha Vidyaplaya	False	False
Gampaha	Divulapitiya	MOH Office – Divulapitiya	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Kalutara	Ingiriya	Ingiriya Hospital	False	False
