district	police	center	dose1	dose2
Colombo	Thalangama	MOH Office  – Battaramulla	False	False
Colombo	Thalangama	Diyatha Uyana	False	False
Colombo	Homagama	Panagoda Bodhirajarama  Viharaya	False	False
Colombo	Padukka	Siri Piyarathana Primary School	False	False
Colombo	Mirihana	MOH Office  – Beddagana	False	False
Colombo	Boralesgamuwa	Kotelawala  Defence  Hospital	False	False
Colombo	Dehiwala	MOH Office  – Dehiwala	False	False
Colombo	Dehiwala	Mihindu Mawatha Maternity Clinic	False	False
Colombo	Grandpass	Fouzi Maternity Clinic	False	False
Colombo	Foreshore	MOH Office  - Jinthupitiya	False	False
Colombo	Mulleriyawa	MOH Office  - Gothatuwa	False	False
Colombo	Wellampitiya	MOH Office  – Kolonnawa	False	False
Colombo	Kaduwela	MOH Office  – Kaduwela	False	False
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Minuwangoda	Maternity Clinic Minuwangoda	False	False
Gampaha	Nittambuwa	MOH Office  - Aththanagalla	False	False
Gampaha	Gampaha	MOH Office  – Gampaha	False	False
Gampaha	Gampaha	Idigolla Viharaya	False	False
Gampaha	Gampaha	Asgiriya Viharaya	False	False
Gampaha	Gampaha	Udugampola Maligagodella  Viharaya	False	False
Gampaha	Ganemulla	Galahitiyawa Vidyalaya	False	False
Gampaha	Kotadeniyawa	Kotadeniyawa  Central Dispensary	False	False
Gampaha	Kotadeniyawa	Dunagaha  Central Dispensary	False	False
Gampaha	Kotadeniyawa	Badalgama  Central Dispensary	False	False
Gampaha	Divulapitiya	MOH Office  – Divulapitiya	False	False
Gampaha	Divulapitiya	Wekada  Central Dispensary	False	False
Gampaha	Katana	Mirigama Halpe Central Dispensary	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Gampaha	Seeduwa	MOH Office  – Seeduwa	False	False
Gampaha	Ja Ela	MOH Office  – Ja Ela	False	False
Gampaha	Wattala	MOH Office  – Wattala	False	False
Gampaha	Ragama	MOH Office  – Ragama	False	False
Kalutara	Kalutara South	Nagoda Hospital	False	False
Kalutara	Kalutara South	NIHS	False	False
Kalutara	Kalutara South	Lewis Silva Ground	False	False
Kalutara	Kalutara South	Rajawatta  Viharaya	False	False
Kalutara	Bandaragama	MOH Office  - Bandaragama	False	False
Kalutara	Millaniya	MOH Office  – Millaniya	False	False
Kalutara	Dodangoda	MOH Office  – Dodangoda	False	False
Kalutara	Dodangoda	Dodangoda  Hospital	False	False
Kalutara	Thebuwana	Wellatha Hospital	False	False
Kalutara	Wadduwa	Dharmapala  College  Wadduwa	False	False
Kalutara	Panadura	Base Hospital Panadura	False	False
Kalutara	Anguruwatota	MOH Office  – Madurawala	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Meegahathenna	MOH Office  - Meegahathenna	False	False
Kalutara	Welipenna	Horawala Navodya Vidylaya	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Baduraliya	Hedigalla Colony Maha Vidyalaya	False	False
Kalutara	Baduraliya	Hedigalla Vipulananda Primary School	False	False
Kalutara	Matugama	Weththewa  Hospital	False	False
Kalutara	Horana	Base Hospital Horana	False	False
Kalutara	Ingiriya	MOH Office  – Ingiriya	False	False
Kalutara	Ingiriya	Ingiriya Hospital	False	False
Kalutara	Ingiriya	Poruwadanda  Thilakarama Viharaya	False	False
Kurunegala	Nikaweratiya	MOH Office  – Nikaweratiya	False	False
Kurunegala	Peradeniya	Ranabima Royal College	False	False
Kandy	Kadugannawa	Dheerananda  Maha Vidyalaya	False	False
Monaragala	Thanamalwila	National Youth Corps Bodagama	False	False
Monaragala	Thanamalwila	Wijayapura  Vidyalaya	False	False
Monaragala	Dambagalla	Mariarawa  Maha Vidyalaya	False	False
Monaragala	Dambagalla	Madulla Central College	False	False
Monaragala	Dambagalla	Polgahagama  Viharaya	False	False
Monaragala	Dambagalla	Thampalawela  Sewa Piyasa	False	False
Galle	Nagoda	Unanvitiya Rewatha  Vidyalaya	False	False
Galle	Nagoda	Nagoda Royal College	False	False
Galle	Hiniduma	Panangala Sanasa Bank	False	False
Galle	Karandeniya	Borakanda  Samaraweera  Ground	False	False
Matara	Dikwella	Wijitha Maha Vidyalaya	False	False
Matara	Weligama	Siddhartha Vidyalaya	False	False
Matara	Weligama	Kokmaduwa Maha Vidyalaya	False	False
Matara	Kotawila	Kotawila Sri Sunandaraa Viharaya	False	False
Matara	Walasmulla	MOH Office  - Walasmulla	False	False
Matara	Tissamaharama	Pannegamuwa  Royal College	False	False
Matara	Weeraketiya	MOH Office  - Weeraketiya	False	False
Hambantota	Hambantota	MOH Office  - Hambantota	False	False
Hambantota	Katuwana	MOH Office  - Katuwana	False	False
Hambantota	Katuwana	Walgammullala Maha Vidyalaya	False	False
Hambantota	Katuwana	Ambagahahena  Maha Vidyalaya	False	False
Hambantota	Katuwana	Wathukanada  Maha Vidyalaya	False	False
Hambantota	Ambalantota	MOH Office  - Ambalantota	False	False
Hambantota	Sooriyawewa	Albuluara Viharaya	False	False
Hambantota	Sooriyawewa	Hathporuwa Community Hall	False	False
Hambantota	Beliatta	MOH Office  – Beliatta	False	False
Hambantota	Tangalle	MOH Office  – Tangalle	False	False
Hambantota	Samanalawewa	University of Sabaragamuwa	False	False
Hambantota	Kegalle	Town Hall - Kegalle	False	False
Hambantota	Kegalle	Wewaladeniya  Viharaya	False	False
Hambantota	Kegalle	Hettimulla Nawa Maha Vidyalaya	False	False
Jaffna	Waddukkottai	MOH Office  – Chankanai	False	False
Jaffna	Kayts	MOH Office  - Velanai	False	False
Jaffna	Kayts	MOH Office  - Kayts	False	False
Jaffna	Kayts	MOH Office  - Karainagar	False	False
Jaffna	Chavakachcheri	Town Hall - Chavakachcheri	False	False
Kilinochchi	Mulankavil	Mulankavil Hospital	False	False
Kilinochchi	Pooneryn	MOH Office  – Pooneryn	False	False
Kilinochchi	Kilinochchi	MOH Office  – Karachchi	False	False
Kilinochchi	Kilinochchi	MOH Office  - Kandavalai	False	False
Kilinochchi	Palei	MOH Office  – Palei	False	False
Kilinochchi	Puthukudiyiruppu	Medical Superintendent  of Health Office	False	False
Mullaitivu	Oddusuddan	Medical Superintendent  of Health Office	False	False
Trincomalee	Muttur	MOH Office  – Muttur	False	False
Trincomalee	Kinniya	MOH Office  – Kinniya	False	False
Trincomalee	Kinniya	Surangal Rural Health Medical Center	False	False
Trincomalee	Sripura	MOH Office  – Sripura	False	False
Trincomalee	Kuchchaveli	MOH Office  - Kuchchaveli	False	False
