district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	False	False
Colombo	Thalangama	MOH Office – Battaramulla	False	False
Colombo	Narahenpita	Army Hospital- Narahenpita	False	False
Colombo	Narahenpita	Army Headquarters Mobile Team	False	False
Colombo	Homagama	Panagoda Bodhirajarama Viharaya	False	False
Colombo	Padukka	Siri Piyarathana Primary School	False	False
Colombo	Mirihana	MOH Office – Beddagana	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	False
Colombo	Dehiwala	MOH Office – Dehiwala	False	False
Colombo	Grandpass	Fouzi Maternity Clinic	False	False
Colombo	Foreshore	MOH Office - Jinthupitiya	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Wellampitiya	MOH Office – Kolonnawa	False	False
Colombo	Kaduwela	MOH Office – Kaduwela	False	False
Colombo	Maradana	National Hospital – Colombo	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Kadawata	MOH Office – Mahara	False	False
Gampaha	Nittambuwa	Ranpokunagama Maha Vidyalaya	False	False
Gampaha	Weeragula	Weeragula Primary School	False	False
Gampaha	Pallewela	Bokalagama Government Dispensary	False	False
Gampaha	Pallewela	Aligarh Maha Vidyalaya	False	False
Gampaha	Veyangoda	Veyangoda Primary School	False	False
Gampaha	Mirigama	Ambepussa Clinic	False	False
Gampaha	Minuwangoda	MOH Office – Minuwangoda	False	False
Gampaha	Gampaha	MOH Office – Gampaha	False	False
Gampaha	Gampaha	Yakkala Abesekaramaya	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Divulapitiya	MOH Office – Divulapitiya	False	False
Gampaha	Divulapitiya	Dunagaha Central Dispensary	False	False
Gampaha	Divulapitiya	Wekada Central Dispensary	False	False
Gampaha	Kotadeniyawa	Kotadeniyawa Central Dispensary	False	False
Gampaha	Kotadeniyawa	Badalgama Central Dispensary	False	False
Gampaha	Kotadeniyawa	Hettimulla Central Dispensary	False	False
Gampaha	Katana	St. Joseph's Primary School Kandawela	False	False
Gampaha	Katana	MOH Office – Katana	False	False
Gampaha	Seeduwa	Davisamara Maha Vidyalaya	False	False
Gampaha	Negombo	Municipal Council – Negombo	False	False
Gampaha	Ja Ela	MOH Office – Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Kalutara	Kalutara	Army Headquarters Mobile Team	False	False
Kalutara	Bandaragama	Bandaragama Hospital	False	False
Kalutara	Bandaragama	Maithree Hall	False	False
Kalutara	Bandaragama	Bodhirukkarama Viharaya Atalugama	False	False
Kalutara	Millaniya	MOH Office – Millaniya	False	False
Kalutara	Dodangoda	MOH Office – Dodangoda	False	False
Kalutara	Thebuwana	Wellatha Hospital	False	False
Kalutara	Panadura	Panadura Hospital	False	False
Kalutara	Beruwala	Beruwala Hospital	False	False
Kalutara	Anguruwatota	MOH Office – Madurawala	False	False
Kalutara	Anguruwatota	Galedadugoda Viharaya	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Meegahathenna	MOH Office – Meegahathenna	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Matugama	Weththewa Hospital	False	False
Kalutara	Matugama	Katugahahena Hospital	False	False
Kalutara	Matugama	Kamburawalama Vidyalaya	False	False
Kalutara	Horana	Base Hospital Horana	False	False
Kalutara	Ingiriya	Ingiriya Hospital	False	False
Kurunegala	Inguruwatta	Meethenwala Maha Vidyalaya	False	False
Kurunegala	Inguruwatta	Watareka Maha Vidyalaya	False	False
Kurunegala	Rideegama	Gonigoda Maha Vidyalaya	False	False
Kurunegala	Rideegama	Rambadagalla National College	False	False
Puttalam	Puttalam	MOH Office – Puttalam	False	False
Puttalam	Chilaw	Punchivilattawa Primary School	False	False
Puttalam	Chilaw	Karawitagaraya Central College	False	False
Puttalam	Chilaw	Maradankulama Vidyalaya	False	False
Puttalam	Arachchikattuwa	Nalladarankattuwa Viharaya	False	False
Puttalam	Wennappuwa	MOH Office – Wennappuwa	False	False
Puttalam	Dankotuwa	Haldaduwana Roman Catholic College	False	False
Puttalam	Dankotuwa	Etiyawala Primary School	False	False
Puttalam	Dankotuwa	Katukenda Vidyalaya	False	False
Puttalam	Dankotuwa	Dankotuwa Balika Vdyalaya	False	False
Puttalam	Madampe	St. Peter's College	False	False
Puttalam	Madampe	Galmuruwa Herath Gunarathna School	False	False
Puttalam	Koswatta	Thummodara Muslim Vidyalaya	False	False
Puttalam	Kandy	Mobile Vaccination	False	False
Puttalam	Wattegama	Paranagama Maha Vidyalaya	False	False
Puttalam	Galagedara	Sujatha Maha Vidyalaya	False	False
Puttalam	Hasalaka	Ranasinghe Premadasa National School	False	False
Puttalam	Hasalaka	Udawela Bandaranayaka Maha Vidyalaya	False	False
Puttalam	Udupussellawa	Wimaladharma Vidyalaya - Udupussellawa	False	False
Matale	Matale	Matale District	False	False
Matale	Galewela	MOH Office – Galewela	False	False
Matale	Naula	MOH Office – Naula	False	False
Matale	Dambulla	MOH Office – Dambulla	False	False
Badulla	Badulla	Mobile Vaccination	False	False
Badulla	Badulla	Base Hospital Badulla	False	False
