district	police	center	dose1	dose2
Colombo	Thalangama	Diyatha Uyana	False	False
Colombo	Thalangama	MOH Office - Battaramulla	False	False
Colombo	Narahenpita	Army Hospital - Narahenpita	False	False
Colombo	Homagama	Panagoda Bodhirajarama Viharaya	False	False
Colombo	Borella	St. Luke's Church - Borella	False	False
Colombo	Mirihana	MOH Office - Beddagana	False	False
Colombo	Mount Lavinia	Park Road Maternity Clinic	False	False
Colombo	Dehiwala	S. De. S. Jayasinghe Hall	False	False
Colombo	Grandpass	Fowzie Maternity Clinic	False	False
Colombo	Fore Shore	MOH Office - Jinthupitiya	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Kaduwela	MOH Office - Kaduwela	False	False
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Pallewela	Muddaragama Central Dispensary	False	False
Gampaha	Nittambuwa	Nambadaluwa Viharaya	False	False
Gampaha	Nittambuwa	Mobile Vaccination	False	False
Gampaha	Mirigama	Maladeniya Central Dispensary	False	False
Gampaha	Gampaha	MOH Office – Gampaha	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Negombo	Municipal Council – Negombo	False	False
Gampaha	Ja Ela	MOH Office – Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Kalutara	Bandaragama	Maithree Hall	False	False
Kalutara	Bandaragama	Mahaarukgoda Viharaya	False	False
Kalutara	Bandaragama	Gammanpila Viharaya	False	False
Kalutara	Wadduwa	Dharmapala Vidyalaya	False	False
Kalutara	Thebuwana	Wellatha Rural Hospital	False	False
Kalutara	Panadura	Panadura Hospital	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Matugama	Katugahahena Hospital	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Mathugama	Weththewa Hospital	False	False
Kalutara	Mathugama	MOH Office - Mathugama	False	False
Kalutara	Horana	Base Hospital Horana	False	False
Kalutara	Ingiriya	Ingiriya Hospital	False	False
Kalutara	Ingiriya	MOH Office – Ingiriya	False	False
Kalutara	Rasnayakapura	MOH Office - Rasnayakapura	False	False
Kalutara	Alawwa	Pradeshiya Shabha - Alawwa	False	False
Kalutara	Alawwa	Kandegedara Maha Vidyalaya	False	False
Kalutara	Marawila	MOH Office - Nattandiya	False	False
Puttalam	Kalpitiya	MOH Office – Kalpitiya	False	False
