district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	True	True
Colombo	Thalangama	Diyatha Uyana	True	True
Colombo	Narahenpita	Army Headquarters Mobile Team	False	False
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Maradana	Mobile Medical Team	True	True
Colombo	Maradana	Colombo National Hospital	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	True
Colombo	Boralesgamuwa	MOH Office - Werahera	False	False
Colombo	Grandpass	Sugathadasa Outdoor Stadium	False	False
Colombo	Dehiwala	MOH Office - Dehiwala	False	False
Colombo	Borella	St. Luke's Church - Borella	False	False
Colombo	Wellawatta	MOH Office - Wellawatta	False	False
Colombo	Fort	Navy Headquarters	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Kaduwela	MOH Office - Kaduwela	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Colombo	Fore shore	MOH Office - Jinthupitiya	False	False
Gampaha	Gampaha	Mobile Medical Team	True	True
Gampaha	Gampaha	MOH Office - Gampaha	False	False
Gampaha	Kadawata	MOH Office - Mahara	False	False
Gampaha	Kadawata	Dalupitiya Maternity Clinic	False	False
Gampaha	Pugoda	MOH Office - Dompe	False	False
Gampaha	Ganemulla	Dharmasiriwardanaramaya	False	False
Gampaha	Minuwangoda	Dagonna	False	False
Gampaha	Minuwangoda	MOH Office - Minuwangoda	False	False
Gampaha	Minuwangoda	Paliyatiyana Community Hall	False	False
Gampaha	Minuwangoda	Horampella Viharaya	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Divulapitiya	Dunagaha Maternity Clinic	False	False
Gampaha	Divulapitiya	Wekada Maternity Clinic	False	False
Gampaha	Katana	Katana Maternity Clinic	False	False
Gampaha	Katana	MOH Office - Seeduwa	False	False
Gampaha	Katana	MOH Office - Katana	False	False
Gampaha	Kotadeniyawa	Kaluaggala Maternity Clinic	False	False
Gampaha	Kotadeniyawa	Kotadeniyawa Maternity Clinic	False	False
Gampaha	Kochchikade	Halpe Maternity Clinic	False	False
Gampaha	Katunayaka	18 Kanuwa Viharaya	False	False
Gampaha	Mirigama	Maladeniya Viharaya	False	False
Gampaha	Mirigama	Bogahawatta Viharaya	False	False
Gampaha	Pallewela	Loluwagoda Primary School	False	False
Gampaha	Nittambuwa	Debahera Viharaya	False	False
Gampaha	Nittambuwa	Urapola Centarl College	False	False
Gampaha	Nittambuwa	Kahatowita Al Badrinaya Vidyalaya	False	False
Gampaha	Nittambuwa	Vidyananda Pirivena	False	False
Gampaha	Kiribathgoda	Hunupitiya Maternity Clinic	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office - Wattala	False	False
Gampaha	Ragama	MOH Office - Ragama	False	False
Kalutara	Kalutara	Mobile Medical Team	True	True
Kalutara	Kalutara	NIHS	False	False
Kalutara	Aluthgama	Mobile Vaccination	False	False
Kalutara	Matugama	Panthiya Maha Vidyalaya	False	False
Kalutara	Matugama	Katugahahena Hospital	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Baduraliya	MOH Office - Baduraliya	False	False
Kalutara	Panadura	Walana Maha Vidyalaya	False	False
Kalutara	Panadura	Town Hall Panadura	False	False
