district	police	center	dose1	dose2	fuzzy_key	alt_name	district_name_norm	district_id	district_lat	district_lng	ps_name_norm	ps_id	ps_lat	ps_lng	lat	lng	formatted_address	dis_center_to_police	tags
Kalutara	Bulathsinhala	MOH Office - Bulathsinhala	False	False	KLTRBLTHSNHLMHFFCBLTHSNHL		Kalutara	LK-13	6.577316	80.127363	Bulathsinhala	PS-1302104	6.650425	80.17703	6.644683	80.179607	J5VH+VRH, Bulathsinhala, Sri Lanka	0.699369	
Kalutara	Panadura	Panadura Hospital	False	False	KLTRPNDRPNDRHSPTL	Base Hospital Panadura	Kalutara	LK-13	6.577316	80.127363	Unknown	Unknown	6.577316	80.127363	6.721556	79.906851	A2, Panadura, Sri Lanka	29.170797	#PoliceStationUnknown; #LikelyIncorrectAddress
Kalutara	Panadura	Panadura Mahanama Vidyalaya	False	False	KLTRPNDRPNDRMHNMVDYLY		Kalutara	LK-13	6.577316	80.127363	Unknown	Unknown	6.577316	80.127363	6.725866	79.907901	PWG5+85R, Panadura, Sri Lanka	29.341164	#PoliceStationUnknown; #LikelyIncorrectAddress
Kalutara	Bandaragama	Mobile Vaccination	False	False	KLTRBNDRGMMBLVCCNTN		Kalutara	LK-13	6.577316	80.127363	Bandaragama	PS-130189	6.715179	79.987674	6.715179	6.715179	Check at Bandaragama Police Station	0	#CenterLocationUnknown
Kurunegala	Giribawa	Sadagala Society Hall	False	False	KRNGLGRBWSDGLSCTYHLL		Kurunegala	LK-61	7.66477	80.23677	Giribawa	PS-610329	8.117314	80.189061	7.472535	80.319098	B247, Kurunegala, Sri Lanka	73.13633	#LikelyIncorrectAddress
Kurunegala	Nikaweratiya	MOH Office - Nikaweratiya	False	False	KRNGLNKWRTYMHFFCNKWRTY		Kurunegala	LK-61	7.66477	80.23677	Nikaweratiya	PS-610320	7.742612	80.121177	7.7475	80.115183	Nikaweratiya-Heelogama Rd, Nikaweratiya, Sri Lanka	0.855589	
Kurunegala	Girilla	Girilla Vidyalaya	False	False	KRNGLGRLLGRLLVDYLY		Kurunegala	LK-61	7.66477	80.23677	Giriulla	PS-610215	7.334527	80.125021	7.829249	80.138325	R4HQ+M8W, Kurunegala, Sri Lanka	55.047393	#LikelyIncorrectAddress
Kurunegala	Kotawehera	Unale Viharaya	False	False	KRNGLKTWHRNLVHRY		Kurunegala	LK-61	7.66477	80.23677	Kotawehera	PS-610322	7.809001	80.077977	7.537105	80.490915	Ridee Vihara Rd, Ridigama, Sri Lanka	54.650438	#LikelyIncorrectAddress
Kurunegala	Kotawehera	Digannea Vidyalaya	False	False	KRNGLKTWHRDGNNVDYLY		Kurunegala	LK-61	7.66477	80.23677	Kotawehera	PS-610322	7.809001	80.077977	7.809001	80.077977	Kotawehera, Kurunegala, Sri Lanka	0.0	
Puttalam	Chilaw	Ambakadawila Vidyalaya	False	False	PTTLMCHLWMBKDWLVDYLY		Puttalam	LK-62	7.973531	79.913833	Chilaw	PS-620241	7.576197	79.788003	7.527563	79.793632	Ambakandawila, Sri Lanka	5.445043	
