district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	False	False
Colombo	Thalangama	Diyatha Uyana	False	False
Colombo	Thalangama	MOH Office - Battaramulla	False	False
Colombo	Grandpass	Sugathadasa Outdoor Stadium	False	False
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	False
Colombo	Boralesgamuwa	MOH Office - Werahera	False	False
Colombo	Mirihana	MOH Office - Beddagana	False	False
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Maligawatta	P.D. Sirisena Ground	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Colombo	Fore shore	MOH Office - Jinthupitiya	False	False
Gampaha	Minuwangoda	MOH Office - Minuwangoda	False	False
Gampaha	Minuwangoda	Pethiyagoda Buddhist Primary School	False	False
Gampaha	Gampaha	MOH Office - Gampaha	False	False
Gampaha	Yakkala	Ambaluwa Viharaya	False	False
Gampaha	Ganemulla	Thimbirigoda Church	False	False
Gampaha	Kirindiwela	Old Pradeshiya Sabha	False	False
Gampaha	Katana	MOH Office - Katana	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Veyangoda	President's College Veyangoda	False	False
Gampaha	Weeragula	Weeragula Primary School	False	False
Gampaha	Mirigama	Lindara Viharaya	False	False
Gampaha	Kadawata	Kirillawala Central College	False	False
Gampaha	Kadawata	Bimbarama Viharaya	False	False
Gampaha	Peliyagoda	Nawaloka Community Hall	False	False
Gampaha	Negombo	Town Hall - Negombo	False	False
Gampaha	Negombo	Periyamulla Church	False	False
Gampaha	Negombo	Velankanni Church - Dalupotha	False	False
Gampaha	Kochchikade	Welihena Church	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Gampaha	Seeduwa	MOH Office - Seeduwa	False	False
Gampaha	Kotadeniyawa	Akaragama Viharaya	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Divulapitiya	Gnanodaya Maha Vidyalaya	False	False
Gampaha	Divulapitiya	Mellawagedara Maha Vidyalaya	False	False
Gampaha	Divulapitiya	Rakshapana Purana Viharaya	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Kalutara	Ingiriya	Ingiriya Hospital	False	False
Kalutara	Ingiriya	Wagawatta Clinic	False	False
Kalutara	Welipenna	Walagedara Clinic	False	False
Kalutara	Anguruwatota	MOH Office - Madurawala	False	False
Kalutara	Horana	Base Hospital - Horana	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Millaniya	Paragastota Viharaya	False	False
