district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	True	True
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	True
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Grandpass	Sugathadasa Outdoor Stadium	False	True
Colombo	Colombo	Sri Wickramapura	False	True
Colombo	Boralesgamuwa	MOH Office - Werahera	False	False
Colombo	Maradana	Colombo National Hospital	False	False
Colombo	Maradana	Mohideen Masjid Rd, Mohideen Jumma Masjid	False	False
Colombo	Borella	St. Luke's Church – Borella	False	False
Colombo	Wellawatta	MOH Office – Wellawatta	False	False
Colombo	Kirulapana	Sithumina Hall	False	False
Colombo	Dehiwala	S. De. S. Jayasinghe Hall	False	False
Colombo	Mt Lavinia	Sri Jananandarama Viharaya	False	False
Colombo	Fore shore	MOH Office - Jinthupitiya	False	False
Colombo	Fort	Navy Headquarters	False	False
Colombo	Wellampitiya	MOH Office – Kolonnawa	False	False
Gampaha	Katunayaka	BOI - Katunayaka	False	True
Gampaha	Katunayaka	18th Mile Post Viharaya	False	False
Gampaha	Katunayaka	MOH Office - Seeduwa	False	False
Gampaha	Gampaha	Mabima Vidyadeepa Pirivena	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Dompe	Malawana Viharaya	False	False
Gampaha	Kirindiwela	Kannimahara Viharaya	False	False
Gampaha	Minuwangoda	Walpitamulla Viharaya	False	False
Gampaha	Minuwangoda	Kotugoda Viharaya	False	False
Gampaha	Minuwangoda	Asgiriya Viharaya	False	False
Gampaha	Ganemulla	Horagolla Viharaya	False	False
Gampaha	Yakkala	Ihala Imbulgoda Viharamahadevi Vidyalaya	False	False
Gampaha	Nittambuwa	Nambuluwa Vidyalaya – Pasyala	False	False
Gampaha	Nittambuwa	Dhathukanda Rajamaha Viharaya	False	False
Gampaha	Nittambuwa	Undugoda Viharaya	False	False
Gampaha	Weeragula	Baron Jayathilaka Vidyalaya	False	False
Gampaha	Weeragula	Dematalanda Community Hall	False	False
Gampaha	Kotadeniyawa	Godigamuwa Viharaya	False	False
Gampaha	Kotadeniyawa	Gamage Watta Viharaya	False	False
Gampaha	Divulapitiya	Nawana Maha Vidyalaya	False	False
Gampaha	Divulapitiya	Pallipitiya Jayathilakaramaya	False	False
Gampaha	Divulapitiya	Henpitagedara Primary School	False	False
Gampaha	Divulapitiya	MOH Office – Divulapitiya	False	False
Gampaha	Kadawata	MOH Office – Mahara	False	False
Gampaha	Meegahawatta	Naranwala Viharaya	False	False
Gampaha	Peliyagoda	Gagabada Community Hall	False	False
Gampaha	Katana	MOH Office – Katana	False	False
Gampaha	Negombo	Town Hall – Negombo	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Gampaha	Kelaniya	Kandahena Clinic	False	False
Gampaha	Kelaniya	Himbutuwellegama	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Gampaha	Kalutara South	Mobile Medical Team - Kalutara	True	True
Kalutara	Kalutara South	MOH Office – Kalutara	False	False
Kalutara	Kalutara South	General Hospital Nagoda – Kalutara	False	False
Kalutara	Beruwala	Zahira College - Darga Town, Beruwala	False	True
Kalutara	Beruwala	MOH Office – Beruwala	False	False
Kalutara	Dodangoda	MOH Office – Dodangoda	False	False
Kalutara	Dodangoda	Dodangoda Hospital	False	False
Kalutara	Wadduwa	Econovax Factory – Wevita	False	False
Kalutara	Wadduwa	MOH Office – Wadduwa	False	False
Kalutara	Matugama	MOH Office – Matugama	False	False
Kalutara	Baduraliya	Kosgulana Maha Vidyalaya	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Thebuwana	Nebada Hospital	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Bulathsinhala	MOH Office – Bulathsinhala	False	False
Kalutara	Panadura	Panadura Hospital	False	False
Kalutara	Panadura	Keselwatta Jilani Vidyalaya	False	False
Kalutara	Panadura	Panadura Sumangala Balika Vidyalaya	False	False
