"දිනය 
Date","ව ාවිෂීල්ඩඩ් Covishield","","සයිවනාෆාම් Sinopharm","","ස්ුට්නනික්ත - V   Sputnik - V","","ෆයිසර්   Pfizer","","ම ොඩර්ර්ො Moderna",""
"","පළමු මාත්‍රාව 
First Dose","වදවන මාත්‍රාව  
Second Dose","පළමු මාත්‍රාව 
First Dose","වදවන මාත්‍රාව  
Second Dose","පළමු මාත්‍රාව  
First Dose","වදවන මාත්‍රාව  
Second Dose","පළමු මාත්‍රාව  
First Dose","වදවන මාත්‍රාව  
Second Dose","පළමු මාත්‍රාව  
First Dose","වදවන මාත්‍රාව  
Second Dose"
"January-21","59426","","","","","","","","",""
"February-21","406924","","","","","","","","",""
"March-21","453403","","","","","","","","",""
"April-21","5489","64589","2865*","2435*","","","","","",""
"May-21","","282721","752605","","26,821","","","","",""
"June-21","-","30997","1002582","707860","87,974","14427","-","","",""
"July-21","-","7578","6154033","1027747","44286","76","201495","192","713659",""
"August-21","460926","499732","1974761","4682106","7","10986","104908","188782","57997","674382"
"September-21","80811","375413","1756142","2901145","2","129884","157534","102751","25360","85821"
"01.10.2021-
07.10.2021","10,888","30981","117445","271385","5","179","7935","48846","6037","777"
"08.10.2021- 
14.10.2021","1698","41619","76833","403083","1","40","6648","84604","45","1063"
"15.10.2021- 
21.10.2021","10","43365","23067","208782","","","91269","5211","","7039"
"22.10.2021","-","6526","5613","96227","-","-","59912","559","-","885"
"23.10.2021","-","3054","7221","99385","-","60","36403","608","-","240"
"24.10.2021","-","654","776","13332","-","-","7711","527","-","1050"
"25.10.2021","-","863","4904","42143","-","-","68816","695","-","240"
"26.10.2021","-","548","4792","62295","1","-","82982","973","-","135"
"27.10.2021","-","1738","4299","48889","4","-","108372","1883","-","75"
"28.10.2021","-","2076","2920","28781","06","01","101368","726","-","3594"
"29.10.2021","-","4527","3248","37612","02","51","88083","882","-","3599"
"සම්ූණණ 
එ තුව 
Cumulative 
Total","1,479,575","1,397,041","11,892,150","10,642,185","159,109","155,707","1,140,741","437,503","803,098","778,900"
