district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	False	False
Colombo	Thalangama	MOH Office – Battaramulla	False	False
Colombo	Narahenpita	Army Hospital- Narahenpita	False	False
Colombo	Narahenpita	Mobile Team	False	False
Colombo	Homagama	Panagoda Bodhirajarama Viharaya	False	False
Colombo	Borella	St. Luke's Church – Borella	False	False
Colombo	Mirihana	MOH Office – Beddagana	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	False
Colombo	Dehiwala	MOH Office – Dehiwala	False	False
Colombo	Grandpass	Fouzi Maternity Clinic	False	False
Colombo	Foreshore	MOH Office - Jinthupitiya	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Wellampitiya	MOH Office – Kolonnawa	False	False
Colombo	Kaduwela	MOH Office – Kaduwela	False	False
Colombo	Maradana	National Hospital – Colombo	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Gampaha	Mobile Team 1	False	False
Gampaha	Minuwangoda	Marapola Maha Vidyalaya	False	False
Gampaha	Minuwangoda	Wijaya Mangala Pirivena – Yatiyana	False	False
Gampaha	Biyagama	MOH Office – Biyagama	False	False
Gampaha	Kelaniya	Dalugama Clinic	False	False
Gampaha	Kadawata	Hinigama Viharaya	False	False
Gampaha	Nittambuwa	Sangabodhi Central College	False	False
Gampaha	Nittambuwa	Alawala Mobile Vaccination	False	False
Gampaha	Nittambuwa	Nambuluwa Government Dispensary	False	False
Gampaha	Mirigama	Maligathenna Government Dispensary	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Negombo	Municipal Council – Negombo	False	False
Gampaha	Katana	MOH Office – Katana	False	False
Gampaha	Katana	Akkara 50 Porude Hall	False	False
Gampaha	Divulapitiya	MOH Office – Divulapitiya	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Gampaha	Ja Ela	MOH Office – Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Kalutara	Kalutara	Mobile Team 1	False	False
Kalutara	Beruwala	Beruwala Hospital	False	False
Kalutara	Bandaragama	Bandaragama Hospital	False	False
Kalutara	Bandaragama	Atulugama Al Gazzaly College	False	False
Kalutara	Panadura	Panadura Hospital	False	False
Kalutara	Thebuwana	Nebada Hospital	False	False
Kalutara	Dodangoda	MOH Office – Dodangoda	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Meegahathenna	MOH Office – Meegahathenna	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Baduraliya	Kelinkanda Colony Vidyalaya	False	False
Kalutara	Matugama	Weththewa Hospital	False	False
Kalutara	Matugama	Katugahahena Hospital	False	False
Kalutara	Horana	Base Hospital Horana	False	False
Kalutara	Ingiriya	Ingiriya Hospital	False	False
Kurunegala	Kurunegala	Mobile Vaccination	False	False
Kurunegala	Mundalama	Velasiya Maha Vidyalaya	False	False
Puttalam	Kalpitiya	MOH Office – Kalpitiya	False	False
Kandy	Kandy	Mobile Vaccination	False	False
Kandy	Kandy	Pushpadana Girls' College	False	False
Kandy	Kandy	Mahanama Vidyalaya	False	False
Kandy	Kandy	MOH Office – Thennekumbura	False	False
Kandy	Kandy	Department of Social Services - Ketawala	False	False
Kandy	Panwila	Kosgama Central College	False	False
Kandy	Nawalapitiya	Anurudha Kumara Primary School	False	False
Kandy	Nawalapitiya	Nawalapitiya Central College	False	False
Nuwara Eliya	Nuwara Eliya	Mobile Vaccination	False	False
Nuwara Eliya	Walapane	Batagolla Pussadewa National College	False	False
Matale	Matale	Matale District	False	False
Matale	Matale	Aluvihare	False	False
Matale	Matale	St. Thomas College	False	False
Matale	Mahawela	Pallepola Hospital	False	False
Badulla	Badulla	Mobile Vaccination	False	False
Badulla	Badulla	University of Uva Wellassa	False	False
Badulla	Haldummulla	MOH Office – Haldummulla	False	False
Badulla	Uva Paranagama	MOH Office - Uva Paranagama	False	False
Badulla	Haputale	MOH Office – Haputale	False	False
Badulla	Welimada	MOH Office - Welimada	False	False
Badulla	Ella	MOH Office – Ella	False	False
Badulla	Bandarawela	MOH Office – Bandarawela	False	False
Badulla	Passara	Passara Hospital	False	False
Moneragala	Monaragala	Mobile Vaccination	False	False
Moneragala	Thanamalwila	Cultural Centre – Thanamalwila	False	False
Moneragala	Thanamalwila	Kethsirigama Primary School	False	False
Moneragala	Dambagalla	Koswelpola Maha Vidyalaya	False	False
Moneragala	Dambagalla	Alpitiya Maha Vidyalaya	False	False
Galle	Galle	Mobile Vaccination	False	False
Galle	Yakkalamulla	Thellambura Dutugemunu Vidyalaya	False	False
Galle	Matara	Mobile Vaccination	False	False
Matara	Mawarala	Makandura Vidyalaya	False	False
Hambantota	Hambantota	Mobile Vaccination	False	False
Hambantota	Hambantota	MOH Office – Hambantota	False	False
Hambantota	Walasmulla	MOH Office – Walasmulla	False	False
Hambantota	Weeraketiya	MOH Office – Weeraketiya	False	False
Hambantota	Katuwana	MOH Office – Katuwana	False	False
Hambantota	Ambalantota	MOH Office – Ambalantota	False	False
Hambantota	Sooriyawewa	MOH Office – Sooriyawewa	False	False
Hambantota	Beliatta	MOH Office – Beliatta	False	False
