district	police	center	dose1	dose2
Colombo	Thalangama	Diyatha Uyana	False	False
Colombo	Thalangama	MOH Office - Battaramulla	False	False
Colombo	Narahenpita	Army Hospital - Narahenpita	False	False
Colombo	Homagama	Panagoda Bodhirajarama Viharaya	False	False
Colombo	Borella	St. Luke's Church - Borella	False	False
Colombo	Padukka	Halpe Nagadushmanarama Viharaya	False	False
Colombo	Mirihana	MOH Office - Beddagana	False	False
Colombo	Dehiwala	MOH Office - Dehiwala	False	False
Colombo	Grandpass	Fowzie Maternity Clinic	False	False
Colombo	Fore Shore	MOH Office - Jinthupitiya	False	False
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Kelaniya	Pradeshiya Shabha - Kelaniya	False	False
Gampaha	Biyagama	MOH Office - Biyagama	False	False
Gampaha	Kadawata	Kirillawala Maha Vidyalaya	False	False
Gampaha	Weliweriya	Henegama Mahabodhi Vidyalaya	False	False
Gampaha	Nittambuwa	Urapola Central College	False	False
Gampaha	Nittambuwa	Sanghabodhi Vidyalaya	False	False
Gampaha	Nittambuwa	Mathalana Primary School	False	False
Gampaha	Pallewela	Pallewela Central Dispensary	False	False
Gampaha	Gampaha	MOH Office - Gampaha	False	False
Gampaha	Gampaha	Pahalagama Viharaya	False	False
Gampaha	Seeduwa	MOH Office - Seeduwa	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Negombo	Municipal Council – Negombo	False	False
Gampaha	Ja Ela	MOH Office – Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Kalutara	Bandaragama	Sri Saralankara Vidyalaya Kidelpitiya	False	False
Kalutara	Bandaragama	Raigama Viharaya	False	False
Kalutara	Bandaragama	Weeragaha Viharaya	False	False
Kalutara	Bandaragama	Kolamediriya Viharaya	False	False
Kalutara	Wadduwa	Dharmapala Vidyalaya	False	False
Kalutara	Wadduwa	Mobile Vaccination	False	False
Kalutara	Millaniya	MOH Office - Millaniya	False	False
Kalutara	Thebuwana	Wellatha Rural Hospital	False	False
Kalutara	Panadura	Panadura Hospital	False	False
Kalutara	Beruwala	Beruwala Hospital	False	False
Kalutara	Anguruwatota	MOH Office - Madurawala	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Matugama	Katugahahena Hospital	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Mathugama	Weththewa Hospital	False	False
Kalutara	Horana	Thakshila Central College	False	False
