district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	False	False
Colombo	Thalangama	MOH Office - Battaramulla	False	False
Colombo	Thalangama	Diyatha Uyana	False	False
Colombo	Grandpass	Sugathadasa Outdoor Stadium	False	False
Colombo	Narahenpita	Army Hospital- Narahenpita	False	False
Colombo	Mirihana	MOH Office - Beddagana	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	False
Colombo	Boralesgamuwa	MOH Office - Werahera	False	False
Colombo	Dehiwala	MOH Office - Dehiwala	False	False
Colombo	Meegoda	Meegoda Sumana Pushparama Viharaya	False	False
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Homagama	Panagoda Bodhirajarama Viharaya	False	False
Colombo	Borella	St. Luke's Church - Borella	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Kaduwela	MOH Office - Kaduwela	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Colombo	Fore shore	MOH Office - Jinthupitiya	False	False
Gampaha	Gampaha	MOH Office - Gampaha	False	False
Gampaha	Minuwangoda	MOH Office - Minuwangoda	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Nittambuwa	Mobile Vaccination	False	False
Gampaha	Nittambuwa	Nambuluwa Government Dispensary	False	False
Gampaha	Nittambuwa	Kahata Ovita Al Baddriya Vidyalaya	False	False
Gampaha	Kadawata	MOH Office - Mahara	False	False
Gampaha	Veyangoda	Maligathenna Government Dispensary	False	False
Gampaha	Pallawela	Bokalagama Government Dispensary	False	False
Gampaha	Ganemulla	Galahitiyawa Vidyalaya	False	False
Gampaha	Dompe	Keragala Viharaya	False	False
Gampaha	Negombo	Municipal Council – Negombo	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Ja Ela	MOH Office – Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Kalutara	Kalutara	Mobile Vaccination	False	False
Kalutara	Dodangoda	Wilpatha Hospital	False	False
Kalutara	Thebuwana	Ayurvedic Hospital Neboda	False	False
Kalutara	Horana	Horana Base Hospital	False	False
Kalutara	Ingiriya	Ingiriya Hospital	False	False
Kalutara	Wadduwa	MOH Office - Wadduwa	False	False
Kalutara	Panadura	Panadura Hospital	False	False
Kalutara	Millaniya	MOH Office - Millaniya	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Matugama	Weththewa Hospital	False	False
Kalutara	Matugama	Katugahahena Hospital	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Bandragama	MOH Office - Bandaragama	False	False
Kalutara	Bandragama	Mobile Vaccination	False	False
Kurunegala	Rasnayakapura	MOH Office - Rasnayakapura	False	False
Kurunegala	Kotawehera	MOH Office - Kotawehera	False	False
Kurunegala	Alawwa	Medagampola Maha Vidyalaya	False	False
Kurunegala	Weerambugedara	MOH Office - Weerambugedara	False	False
Puttalam	Mundalama	MOH Office – Mundalama	False	False
Puttalam	Norochcholai	Norochcholai Muslim College	False	False
Puttalam	Kalpitiya	Kalpitiya Hospital	False	False
Puttalam	Wennappuwa	MOH Office – Wennappuwa	False	False
Puttalam	Puttalam	Zahira National College	False	False
Puttalam	Puttalam	Fathima College	False	False
Puttalam	Galaha	Galaha Regional Hospital	False	False
Badulla	Badulla	Base Hospital Badulla	False	False
Badulla	Hali Ela	MOH Office - Hali Ela	False	False
Badulla	Bandarawela	Town Hall - Bandarawela	False	False
Badulla	Bandarawela	Medical Superintendent of Health Office	False	False
Badulla	Haldummulla	Haldummulla Hospital	False	False
Badulla	Lunugala	MOH Office – Lunugala	False	False
Badulla	Lunugala	District Hospital Lunugala	False	False
Badulla	Lunugala	Hopton Hospital	False	False
Badulla	Pitigala	Maligathenna Purana Vidharaya - Haththaka	False	False
Galle	Hiniduma	Thawalama Vidyaraja Vidyalaya	False	False
Galle	Deniyaya	MOH Office - Kotapola	False	False
Matara	Mawarala	MOH Office - Mulatiyana	False	False
Matara	Hakmana	Panangala Bodhi Rukkaramaya	False	False
Matara	Weligama	Midigama Maha Vidyalaya	False	False
Hambantota	Hambantota	MOH Office - Hambantota	False	False
Hambantota	Ambalantota	MOH Office - Ambalantota	False	False
Hambantota	Walasmulla	MOH Office - Walasmulla	False	False
Hambantota	Weeraketiya	MOH Office - Weeraketiya	False	False
Hambantota	Katuwana	MOH Office - Katuwana	False	False
Hambantota	Sooriyawewa	MOH Office - Sooriyawewa	False	False
Hambantota	Beliatta	MOH Office – Beliatta	False	False
Hambantota	Tangalle	MOH Office – Tangalle	False	False
Kegalle	Warakapola	Niyandurupola Vidyalaya	False	False
Kegalle	Warakapola	Niwatuwawa Vidyalaya	False	False
Kegalle	Pindeniya	Pindeniya Hospital	False	False
Kegalle	Pindeniya	Atala Hospital	False	False
Kegalle	Dewalegama	Dewalegama Hospital	False	False
Kegalle	Kegalle	Dematapitiya Hospital	False	False
Kegalle	Aranayaka	MOH Office - Aranayaka	False	False
Anuradhapura	Anuradhapura	Army Hospital Anuradhapura	False	False
