district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	True	True
Colombo	Thalangama	Diyatha Uyana	True	True
Colombo	Grandpass	Sugathadasa Outdoor Stadium	True	True
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Narahenpita	Army Headquarters Mobile Team	False	False
Colombo	Borella	St. Luke's Church - Borella	False	False
Colombo	Borella	Campbell Park	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	True
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Fort	Navy Headquarters	False	False
Colombo	Wellawatta	MOH Office - Wellawatta	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Colombo	Fore shore	MOH Office - Jinthupitiya	False	False
Gampaha	Gampaha	MOH Office - Gampaha	False	False
Gampaha	Pugoda	MOH Office - Dompe	False	False
Gampaha	Mirigama	Walbothale Viharaya	False	False
Gampaha	Minuwangoda	MOH Office- Minuwangoda	False	False
Gampaha	Nittambuwa	Ellalamulla Muslim Vidyalaya	False	False
Gampaha	Nittambuwa	Sanghabodhi Vidyalaya	False	False
Gampaha	Nittambuwa	Kuruwalana Primary School	False	False
Gampaha	Kadawatha	Enderamulla	False	False
Gampaha	Peliyagoda	Manning Market	False	False
Gampaha	Katana	MOH Office - Katana	False	False
Gampaha	Dungalpitiya	Pitipana Maternity Clinic	False	False
Gampaha	Biyagama	MOH Office - Biyagama	False	False
Gampaha	Negombo	Town Hall - Negombo	False	False
Gampaha	Negombo	Munnakkara Aliyapola Hall	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office - Wattala	False	False
Gampaha	Ragama	MOH Office - Ragama	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Seeduwa	MOH Office - Seeduwa	False	False
Kalutara	Kalutara South	Mobile Medical Team	True	True
Kalutara	Kalutara South	NIHS	False	False
Kalutara	Kalutara South	Sumanarama Viharaya	False	False
Kalutara	Kalutara South	St. Marys Church - Kalamulla	False	False
Kalutara	Kalutara South	Katukurunda Roman Catholic College	False	False
Kalutara	Ingiriya	District Hospital - Ingiriya	False	False
Kalutara	Ingiriya	Manana Primary School	False	False
Kalutara	Ingiriya	Arakawila Vidyalya	False	False
Kalutara	Beruwala	MOH Office - Beruwala	False	False
Kalutara	Matugama	Katugahahena Rural Hospital	False	False
Kalutara	Matugama	MOH Office - Matugama	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Wadduwa	Pinwattameda Viharaya	False	False
Kalutara	Wadduwa	Mobile Vaccination	False	False
Kalutara	Wadduwa	Daladawatta Purana Viharaya	False	False
Kalutara	Bandragama	Batadombathulawa Community Hall	False	False
Kalutara	Millaniya	Mobile Vaccination	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Meegahathenna	MOH Office - Meegahathenna	False	False
Kalutara	Bulathsinhala	Govinna Vidyalaya	False	False
Kurunegala	Kurunegala	Mobile Medical Team	False	False
Kurunegala	Kurunegala	Sri John Kotelawala Vidyalaya	False	False
Kurunegala	Kurunegala	Kudagalgamuwa Vidyalaya	False	False
Kurunegala	Kurunegala	Piduruwellegama Vidyalaya	False	False
Kurunegala	Kurunegala	Minhettiya Vidyalaya	False	False
Kurunegala	Wellawa	Hunupola Primary School	False	False
