district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	True	True
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Narahenpita	Army Headquarters Mobitel Team	False	False
Colombo	Thalangama	Diyatha Uyana	True	True
Colombo	Maradana	Mobile Medical Team	False	False
Colombo	Maradana	Colombo National Hospital	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	True
Colombo	Boralesgamuwa	MOH Office - Werahera	False	False
Colombo	Grandpass	Sugathadasa Outdoor Stadium	True	True
Colombo	Avissawella	Dehiowita National College	False	False
Colombo	Fort	Navy Headquarters	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Kaduwela	MOH Office - Kaduwela	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Colombo	Fore shore	MOH Office - Jinthupitiya	False	False
Gampaha	Gampaha	Mobile Medical Team	True	True
Gampaha	Gampaha	Akarawita Viharaya	False	False
Gampaha	Gampaha	Oruthota Community Hall	False	False
Gampaha	Gampaha	Baduwathugoda Clinic	False	False
Gampaha	Gampaha	Udugampola Senarth Paranavithana Vidyalaya	False	False
Gampaha	Gampaha	MOH Office - Gampaha	False	False
Gampaha	Kadawata	MOH Office - Mahara	False	False
Gampaha	Kadawata	Dalupitiya Maternity Clinic	False	False
Gampaha	Pugoda	MOH Office - Dompe	False	False
Gampaha	Minuwangoda	Dagonna	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Divulapitiya	Dunagaha Maternity Clinic	False	False
Gampaha	Divulapitiya	Wekada Maternity Clinic	False	False
Gampaha	Katana	Katana Maternity Clinic	False	False
Gampaha	Kotadeniyawa	Kaluaggala Maternity Clinic	False	False
Gampaha	Kotadeniyawa	Kotadeniyawa Maternity Clinic	False	False
Gampaha	Seeduwa	Seeduwa Davisarama Maha Vidyalaya	False	False
Gampaha	Dungalpitiya	Pitipana Maternity Clinic	False	False
Gampaha	Kochchikade	Halpe Maternity Clinic	False	False
Gampaha	Mirigama	Maladeniya Government Dispensary	False	False
Gampaha	Mirigama	Ambepussa Government Dispensary	False	False
Gampaha	Pallewela	Muddaragama Government Dispensary	False	False
Gampaha	Pallewela	Pallewela Government Dispensary	False	False
Gampaha	Nittambuwa	Pasyala Government Dispensary	False	False
Gampaha	Nittambuwa	Nambuluwa Government Dispensary	False	False
Gampaha	Nittambuwa	Weweldeniya Government Dispensary	False	False
Gampaha	Nittambuwa	Al-Azhar College	False	False
Gampaha	Veyangoda	Veyangoda Primary School	False	False
Gampaha	Bemmulla	Bandarabatawala Pirivena	False	False
Gampaha	Peliyagoda	Pagnananda Dharma Institute	False	False
Gampaha	Kiribathgoda	Dalugama Maternity Clinic	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office - Wattala	False	False
Gampaha	Ragama	MOH Office - Ragama	False	False
Gampaha	Maligathenna	Maligathenna Government Dispensary	False	False
Kalutara	Kalutara South	Mobile Medical Team	True	True
Kalutara	Kalutara South	NIHS	False	False
Kalutara	Beruwala	MOH Office - Beruwala	False	False
Kalutara	Dodangoda	MOH Office - Dodangoda	False	False
