district_num	district_name	center_num	police_area	center_name
nan	Colombo	1.0	Narahenpita	Army Hospital Narahenpita (1st Dose & 2nd Dose)
nan	Colombo	2.0	Cinnamon Gardens	Viharamahadevi Park (1st Dose & 2nd Dose )
nan	Colombo	3.0	Thalangama	Diyatha Uyana (1st Dose & 2nd Dose)
nan	Colombo	4.0	nan	Mobile Medical Team (Colombo  (1st Dose & 2nd Dose)
nan	Colombo	nan	Maradana	nan
nan	Colombo	5.0	nan	Colombo National Hospital
nan	Colombo	6.0	Grandpass	Sugathadasa Outdoor Stadium (2nd Dose)
nan	Colombo	7.0	Maligawatta	P.D. Sirisena Ground (2 nd Dose)
nan	Colombo	8.0	Fore shore	MOH Office - Jinthupitiya
nan	Colombo	9.0	Fort	Navy Headquarters
1.0	Colombo	10.0	Boralesgamuwa	MOH Office - Werahera
nan	Colombo	11.0	Dehiwala	MOH Office - Dehiwala
nan	Colombo	12.0	Mt. Lavinia	Park Road Maternity Clinic
nan	Colombo	13.0	Hanwella	Roman Catholic College - Welikanna
nan	Colombo	14.0	nan	MOH Office - Moratuwa
nan	Colombo	15.0	Moratuwa	Lunawa Hospital
nan	Colombo	16.0	nan	Municipal Council Car Park
nan	Colombo	17.0	Egodauyana	MOH Office - Egodauyana
nan	Colombo	18.0	Piliyandala	MOH Office - Bokundara
nan	Colombo	19.0	Kesbewa	MOH Office - Kesbewa
nan	Gampaha	1.0	nan	BOI - Katunayaka (2nd Dose)
nan	Gampaha	nan	Katunayaka	nan
nan	Gampaha	2.0	nan	Adiambalama Veluwanarama Viharaya
2.0	Gampaha	nan	nan	nan
nan	Gampaha	3.0	Pugoda	MOH Office - Dompe
nan	Gampaha	4.0	Dompe	Putupagala Clinic
6	Gampaha	eellawatta Viharaya	nan	nan
7	Gampaha	OH Office - Minuwangoda	nan	nan
8	Ganemulla	nan	hibbotugoda Church	nan
9	Nittambuwa	nan	adawadunna Viharaya	nan
10	Nittambuwa	ande Viharaya	nan	nan
11	Nittambuwa	algammulla Viharaya	nan	nan
12	Pallewela	nan	okalagama Central Pharmacy	nan
13	Veyangoda	nan	adagamuwa Viharaya	nan
14	Weeragula	nan	eeragula Primary School	nan
15	Gampaha	nan	osowita Community Hall	nan
16	Gampaha	athnawali Sama Viharaya	nan	nan
17	Divulapitiya	nan	nanodaya Maha Vidyalaya	nan
18	Mirigama	nan	avihena Viharaya	nan
19	Seeduwa	nan	urana Methodist Church	nan
20	Kadawata	nan	OH Office - Mahara	nan
21	Kadawata	imbarama Viharaya	nan	nan
22	Kadawata	ahara Nuhegoda Isipathanaramaya	nan	nan
23	Kiribathgoda	nan	unupitiya Clinic	nan
24	Kiribathgoda	alugama Clinic	nan	nan
25	Peliyagoda	nan	radeshiya Shabha - Kelaniya	nan
26	Kotadeniyawa	nan	ellawagedra Maha Vidyalaya	nan
27	Kotadeniyawa	akshapana Nandaraja Viharaya	nan	nan
28	Kotadeniyawa	karangaha Viharaya	nan	nan
29	Negomobo	nan	own Hall - Negomobo	nan
30	Negomobo	alupatha Velakkanni Maternity Clinic	nan	nan
31	Negomobo	ankuliya St. Anthony's Church	nan	nan
32	Negomobo	ur Lady of Snows' Church	nan	nan
33	Pamunugama	nan	amunugaa Hospital	nan
34	Pamunugama	t.Nicholas Church - Bopitiya	nan	nan
nan	Pamunugama	1.0	Horana	Horana Hospital
nan	Pamunugama	2.0	nan	Handapangoda Vidyalaya
nan	Pamunugama	nan	Ingiriya	nan
nan	Pamunugama	3.0	nan	Ingiriya Hospital
nan	Pamunugama	4.0	nan	Arakagoda Viharaya
nan	Pamunugama	5.0	Millaniya	Karagastota Viharaya
nan	Pamunugama	6.0	nan	Delkada Viharaya
nan	Pamunugama	7.0	Wadduwa	Dibbedda Gunawardhana Primary School
nan	Pamunugama	8.0	Kalutara North	Nugagoda Viharaya
nan	Pamunugama	9.0	nan	MOH Office – Dodangoda
nan	Pamunugama	nan	Dodangoda	nan
nan	Pamunugama	10.0	nan	Dodangoda Hospital
nan	Pamunugama	11.0	Thebuwana	DH – Nebada
nan	Pamunugama	12.0	nan	NIHS
nan	Pamunugama	nan	Kalutara South	nan
nan	Pamunugama	13.0	nan	General Hospital Nagoda – Kalutara
3.0	Kalutara	14.0	Welipenna	Walagedra  Maha Vidyalaya
nan	Kalutara	15.0	nan	Ananda Sastralaya National College - Matugama
nan	Kalutara	16.0	nan	Weththewa Hospita
nan	Kalutara	nan	Matugama	nan
nan	Kalutara	17.0	nan	Katugahahena Hospital
nan	Kalutara	18.0	nan	Ambethenna State Permises
nan	Kalutara	19.0	Meegahathenna	Gulawita Community Hall
nan	Kalutara	20.0	nan	Mihindu Maha Vidyalaya
nan	Kalutara	21.0	Agalawatta	Pimbura Hospital
nan	Kalutara	22.0	nan	Kudaligama Maha Vidyalaya
nan	Kalutara	23.0	nan	Kamburawala Maha Vidyalaya
nan	Kalutara	nan	Baduraliya	nan
nan	Kalutara	24.0	nan	Delkit Estate Tamil Vidyalayainati
nan	Kalutara	25.0	nan	Amaragedra Maha Vidyalaya
nan	Kalutara	nan	Bulathsinhala	nan
nan	Kalutara	26.0	nan	Govinna Maha Vidyalaya
nan	Kalutara	27.0	Anguruwatota	MOH Office - Madurawala
4.0	Kurunegala	1.0	Nikaweratiya	Nikaweratiya Mahasen National College
nan	Kurunegala	3	nan	attapitiya Viharaya
nan	Kurunegala	4	Giriulla	nan
nan	Kurunegala	5	Rasnayakapura	nan
nan	Kurunegala	6	nan	grauda Viharaya
nan	Kurunegala	7	nan	dunowa Viharaya
nan	Kurunegala	8	nan	hala Ambale Viharaya
nan	Kurunegala	9	Kurunegala	nan
nan	Kurunegala	10	nan	ewa Ravuma Army Camp
nan	Kurunegala	11	Mallawapitiya	nan
nan	Kurunegala	12	Bamunukotuwa	nan
nan	Kurunegala	13	Wariyapola	nan
nan	Kurunegala	14	Alawwa	nan
nan	Kurunegala	15	nan	ungamwa Dhamsen Vidyalaya
nan	Kurunegala	16	Weerambugedara	nan
5.0	Nuwara Eliya	1	Hanguranketa	nan
nan	Nuwara Eliya	2	Walapane	nan
nan	Nuwara Eliya	3	Theripehe	nan
nan	Nuwara Eliya	4	Kotmale	nan
nan	Nuwara Eliya	5	Pundaluoya	nan
nan	Nuwara Eliya	6	Agrapatana	nan
nan	Nuwara Eliya	7	Lindula	nan
6.0	Badulla	1	Badulla	nan
2.0	Badulla	eegahawela Primary School	nan	nan
3.0	Haldummulla	nan	ampaha Vidyalaya	nan
4.0	Haldummulla	eewenkanda Vidyalaya	nan	nan
5.0	Lunugala	nan	unugala Hospital	nan
6.0	Lunugala	optan Hopital	nan	nan
nan	Lunugala	8.0	Kahataruppa	Kahataruppa Hospital
nan	Lunugala	9.0	Hali Ela	Mahawattegama Vidyalaya
nan	Lunugala	10.0	nan	MOH Office - Ella
nan	Lunugala	nan	Ella	nan
nan	Lunugala	11.0	nan	Divisional Secretariat - Ella
nan	Galle	1.0	nan	Sanghamitta Balika Vidyalaya
nan	Galle	nan	Galle	nan
nan	Galle	2.0	nan	Ukwatta Primary School
nan	Galle	3.0	Habaraduwa	Unawatuna Maha Vidyalaya
nan	Galle	4.0	nan	MOH Office - Yakkalamulla
7.0	Galle	nan	Yakkalamulla	nan
nan	Galle	5.0	nan	Kottawa Garment
nan	Galle	6.0	Pitigala	Karawwa Sri Nandana Viharaya
nan	Galle	7.0	Elpitiya	Omaththa Primary School
nan	Galle	8.0	Poddala	Meepawala Amarasuriya Vidyalaya
nan	Matara	1.0	Morawaka	Weliwa Buddhist College
nan	Matara	2.0	Matara	Weherahena Rajamaha Viharaya
nan	Matara	3.0	Hakmana	Hakmana Udupillagoda Purana Viharaya
nan	Matara	4.0	Akuressa	Thanahalagama Viharaya
nan	Matara	5.0	nan	Derangala Maha Vidyalaya
nan	Matara	nan	Pitabeddara	nan
8.0	Matara	6.0	nan	Dudley Senanayake Maha Vidyalaya - Pitabeddara
nan	Matara	7.0	Weligama	Midigama Loadstar Factory
nan	Matara	8.0	nan	Kamburupitiya Ulla Maha Vidyalaya
nan	Matara	nan	Kamburupitiya	nan
nan	Matara	9.0	nan	Narandeniya Maha Vidyalaya
nan	Matara	10.0	Deiyandara	Deiyandara National College
nan	Matara	11.0	Urubokka	Pattigala Primary School
nan	Hambantota	1.0	Walasmulla	MOH Office - Okewita
9.0	Hambantota	2.0	Sooriyawewa	MOH Office - Sooriyawewa
nan	Hambantota	3.0	Ambalantota	MOH Office - Ambalantota
nan	Hambantota	5.0	nan	Godawela Viharaya
nan	Hambantota	6.0	nan	Nihiluwa Maha Vidyalaya
nan	Hambantota	7.0	Beliatta	Watarakgoda Viharaya
nan	Hambantota	8.0	nan	Beligalla Maha Vidyalaya
nan	Hambantota	9.0	nan	Pallaththara Maha Vidyalaya
nan	Hambantota	10.0	nan	Labuhengoda Maha Vidyalaya
nan	Hambantota	11.0	Middeniya	Kudagalara Viharaya
nan	Hambantota	12.0	nan	Middeniya Primary School
nan	Rathnapura	1.0	Weligepola	MOH Office - Weligepola
nan	Rathnapura	2.0	nan	Vidyaloka Vidyalaya
nan	Rathnapura	3.0	Balangoda	Budda Jayanthi Vidyalaya
nan	Rathnapura	4.0	nan	Mas Garment Factory - Balangoda
nan	Rathnapura	5.0	Pinnawala	Rathmalavinna Vidyalaya
10.0	Rathnapura	6.0	nan	Ayagama Dhammananda  Vidyalaya
nan	Rathnapura	nan	Ayagama	nan
nan	Rathnapura	7.0	nan	Nivithigala Sumana National College
nan	Rathnapura	8.0	nan	Kalawana Maha Vidyalaya
nan	Rathnapura	nan	Kalawana	nan
nan	Rathnapura	9.0	nan	Pothupitiya Vidyalaya
nan	Rathnapura	10.0	Kahawatta	Kahawatta Central College
nan	Rathnapura	11.0	Rathnapura	Kumara Vidyalaya
nan	Kegalle	1.0	Rambukkana	MOH Office - Rambukkana
nan	Kegalle	2.0	nan	Puwakdeniya Primary School
nan	Kegalle	3.0	nan	Hettimulla Bandaranayaka Maha Vidyalaya
nan	Kegalle	4.0	nan	Alapalawala Maha Vidyalaya
11.0	Kegalle	nan	Kegalle	nan
nan	Kegalle	5.0	nan	Bulugahadeniya Sri Vithanarama Viharaya
nan	Kegalle	6.0	nan	Atugoda Vidyalaya
nan	Kegalle	7.0	nan	MOH Office - Galigamuwa
nan	Kegalle	8.0	Mawanella	Muruthawela Community Hall
nan	Kegalle	5.0	nan	Godawela Viharaya
nan	Kegalle	6.0	nan	Nihiluwa Maha Vidyalaya
nan	Kegalle	7.0	Beliatta	Watarakgoda Viharaya
nan	Kegalle	8.0	nan	Beligalla Maha Vidyalaya
nan	Kegalle	9.0	nan	Pallaththara Maha Vidyalaya
nan	Kegalle	10.0	nan	Labuhengoda Maha Vidyalaya
nan	Kegalle	11.0	Middeniya	Kudagalara Viharaya
nan	Kegalle	12.0	nan	Middeniya Primary School
nan	Rathnapura	1.0	Weligepola	MOH Office - Weligepola
nan	Rathnapura	2.0	nan	Vidyaloka Vidyalaya
nan	Rathnapura	3.0	Balangoda	Budda Jayanthi Vidyalaya
nan	Rathnapura	4.0	nan	Mas Garment Factory - Balangoda
nan	Rathnapura	5.0	Pinnawala	Rathmalavinna Vidyalaya
10.0	Rathnapura	6.0	nan	Ayagama Dhammananda  Vidyalaya
nan	Rathnapura	nan	Ayagama	nan
nan	Rathnapura	7.0	nan	Nivithigala Sumana National College
nan	Rathnapura	8.0	nan	Kalawana Maha Vidyalaya
nan	Rathnapura	nan	Kalawana	nan
nan	Rathnapura	9.0	nan	Pothupitiya Vidyalaya
nan	Rathnapura	10.0	Kahawatta	Kahawatta Central College
nan	Rathnapura	11.0	Rathnapura	Kumara Vidyalaya
nan	Kegalle	1.0	Rambukkana	MOH Office - Rambukkana
nan	Kegalle	2.0	nan	Puwakdeniya Primary School
nan	Kegalle	3.0	nan	Hettimulla Bandaranayaka Maha Vidyalaya
nan	Kegalle	4.0	nan	Alapalawala Maha Vidyalaya
11.0	Kegalle	nan	Kegalle	nan
nan	Kegalle	5.0	nan	Bulugahadeniya Sri Vithanarama Viharaya
nan	Kegalle	6.0	nan	Atugoda Vidyalaya
nan	Kegalle	7.0	nan	MOH Office - Galigamuwa
nan	Kegalle	8.0	Mawanella	Muruthawela Community Hall
nan	Kegalle	nan	10	nan
nan	Kegalle	nan	11	nan
nan	Kegalle	nan	12	nan
nan	Kegalle	nan	13	nan
nan	Kegalle	nan	14	nan
12.0	Anuradhapura	1.0	Anuradhapura	nan
nan	Anuradhapura	nan	2	nan
nan	Anuradhapura	nan	3	nan
nan	Anuradhapura	nan	4	Parasangaswewa
nan	Anuradhapura	nan	5	Mihintale
13.0	Jaffna	1.0	Wadukkotte	nan
nan	Jaffna	nan	2	Kayts
nan	Jaffna	nan	3	nan
nan	Jaffna	nan	4	Chavakachcheri
nan	Jaffna	nan	5	Nelliadi
nan	Jaffna	nan	6	Valvettithurai
nan	Jaffna	nan	7	Jaffna
nan	Jaffna	nan	8	Chavakachcheri
nan	Jaffna	nan	9	Thelippalai
14.0	Kilinochchi	1.0	Kilinochchi	nan
nan	Kilinochchi	nan	2	Pooneryn
15.0	Mullaitivu	1.0	Mullaitivu	nan
16.0	Mannar	1.0	Madu	nan
2.0	Adampan	nan	OH Office - Adampan (2nd Dose)	nan
nan	Adampan	nan	Mannar	nan
nan	Adampan	4.0	nan	St. Xaviers Girls College - Mannar (2nd Dose)
nan	Adampan	5.0	Silawathura	Veppamkulam GMM School - Mannar (2nd Dose)
nan	Trincomalee	1.0	Muttur	MOH Office – Muttur
nan	Trincomalee	2.0	nan	MOH Office - Kuruggankeni
nan	Trincomalee	nan	Kinniya	nan
nan	Trincomalee	3.0	nan	MOH Office – Kinniya
nan	Trincomalee	4.0	Sripura	MOH Office – Sripura
nan	Trincomalee	5.0	Kantale	MOH Office – Kantale
nan	Trincomalee	6.0	nan	MOH Office - Kuchchaveli
nan	Trincomalee	7.0	Kuchchaveli	Divisional Hospital - Kuchchaveli
17.0	Trincomalee	nan	nan	nan
nan	Trincomalee	8.0	nan	Divisional Hospital - Nilaveli
nan	Trincomalee	9.0	Harbour Police	MOH Office - Trincomalee
nan	Trincomalee	10.0	Uppuveli	MOH Office - Uppuveli
nan	Trincomalee	11.0	Thambalagamuwa	MOH Office - Thambalagamuwa
nan	Trincomalee	12.0	Gomarankadawala	MOH Office - Gomarankadawala
nan	Trincomalee	13.0	Serunuwara	MOH Office - Serunuwara
nan	Trincomalee	14.0	Ichchalampattu	MOH Office - Ichchalampattu
nan	Batticaloa	1.0	Kokkadichcholai	Mahaladithivu Hospital
nan	Batticaloa	2.0	Vellawali	MOH Office - Vellawali
nan	Batticaloa	3.0	Kaluwanchikudy	MOH Office - Kaluwanchikudy
nan	Batticaloa	4.0	Kattankudy	MOH Office - Kattankudy
nan	Batticaloa	5.0	Batticaloa	Batticaloa Central College
18.0	Batticaloa	6.0	nan	MOH Office - Valachchenai
nan	Batticaloa	7.0	nan	MOH Office - Oddamavadi
nan	Batticaloa	8.0	Valachchenai	MOH Office - Meeravodai
nan	Batticaloa	9.0	nan	Annur National College
nan	Batticaloa	10.0	nan	Valachchenai Base Hospital
nan	Batticaloa	11.0	Vakarai	MOH Office - Vakarai
nan	Batticaloa	nan	Mannar	nan
nan	Batticaloa	4.0	nan	St. Xaviers Girls College - Mannar
nan	Batticaloa	5.0	Silawathura	Veppamkulam GMM School - Ma
nan	Trincomalee	1.0	Muttur	MOH Office – Muttur
nan	Trincomalee	2.0	nan	MOH Office - Kuruggankeni
nan	Trincomalee	nan	Kinniya	nan
nan	Trincomalee	3.0	nan	MOH Office – Kinniya
nan	Trincomalee	4.0	Sripura	MOH Office – Sripura
nan	Trincomalee	5.0	Kantale	MOH Office – Kantale
nan	Trincomalee	6.0	nan	MOH Office - Kuchchaveli
nan	Trincomalee	7.0	Kuchchaveli	Divisional Hospital - Kuchchaveli
17.0	Trincomalee	nan	nan	nan
nan	Trincomalee	8.0	nan	Divisional Hospital - Nilaveli
nan	Trincomalee	9.0	Harbour Police	MOH Office - Trincomalee
nan	Trincomalee	10.0	Uppuveli	MOH Office - Uppuveli
nan	Trincomalee	11.0	Thambalagamuwa	MOH Office - Thambalagamuwa
nan	Trincomalee	12.0	Gomarankadawala	MOH Office - Gomarankadawala
nan	Trincomalee	13.0	Serunuwara	MOH Office - Serunuwara
nan	Trincomalee	14.0	Ichchalampattu	MOH Office - Ichchalampattu
nan	Batticaloa	1.0	Kokkadichcholai	Mahaladithivu Hospital
nan	Batticaloa	2.0	Vellawali	MOH Office - Vellawali
nan	Batticaloa	3.0	Kaluwanchikudy	MOH Office - Kaluwanchikudy
nan	Batticaloa	4.0	Kattankudy	MOH Office - Kattankudy
nan	Batticaloa	5.0	Batticaloa	Batticaloa Central College
18.0	Batticaloa	6.0	nan	MOH Office - Valachchenai
nan	Batticaloa	7.0	nan	MOH Office - Oddamavadi
nan	Batticaloa	8.0	Valachchenai	MOH Office - Meeravodai
nan	Batticaloa	9.0	nan	Annur National College
nan	Batticaloa	10.0	nan	Valachchenai Base Hospital
nan	Batticaloa	11.0	Vakarai	MOH Office - Vakarai
nan	13	nan	Eravur Hospital	nan
nan	14	nan	Karadiyanaru Hospital	nan
nan	15 Eravur	nan	MOH Office – Eravur	nan
nan	16	nan	MOH Ofice - Chenkaladi	nan
nan	17	nan	Chenkaladi Hospital	nan
nan	18	nan	Sandiveli Hospital	nan
Sub Total	18	nan	nan	nan
