district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	False	False
Colombo	Thalangama	MOH Office - Battaramulla	False	False
Colombo	Thalangama	Diyatha Uyana	False	False
Colombo	Narahenpita	Army Hospital- Narahenpita	False	False
Colombo	Narahenpita	Mobile Team	False	False
Colombo	Homagama	Panagoda Bodhirajarama Viharaya	False	False
Colombo	Mirihana	MOH Office - Beddagana	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	False
Colombo	Boralesgamuwa	MOH Office - Werahera	False	False
Colombo	Dehiwala	MOH Office - Dehiwala	False	False
Colombo	Grandpass	Fouzi Maternity Clinic	False	False
Colombo	Foreshore	MOH Office - Jinthupitiya	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Kaduwela	MOH Office - Kaduwela	False	False
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Minuwangoda	Mathammana Viharaya	False	False
Gampaha	Minuwangoda	Madelgamuwa Viharaya	False	False
Gampaha	Veyangoda	Rukmale Maternity Clinic	False	False
Gampaha	Pallewela	Pallewela Government Dispensary	False	False
Gampaha	Biyagama	MOH Office - Biyagama	False	False
Gampaha	Kelaniya	Pilapitiya Baraneskanda Viharaya	False	False
Gampaha	Malwathu Hiripitiya	Kirigana Jayasumanaramaya	False	False
Gampaha	Gampaha	Pahala Imbulgoda Viharaya	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Negombo	Municipal Council – Negombo	False	False
Gampaha	Katana	MOH Office - Katana	False	False
Gampaha	Katana	Kimbulapitiya Polgalawatta Community Hal	False	False
Gampaha	Katunayaka	Kovinna Maternity Clinic	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Divulapitiya	Dunagaha Central Dispensary	False	False
Gampaha	Divulapitiya	Wekada Central Dispensary	False	False
Gampaha	Kotadeniyawa	Kotadeniyawa Central Dispensary	False	False
Gampaha	Kotadeniyawa	Badalgama Central Dispensary	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Gampaha	Ja Ela	MOH Office – Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Kalutara	Kalutara South	Dharama Wijaya Pirivena	False	False
Kalutara	Kalutara South	Mobile Team 1	False	False
Kalutara	Beruwala	Beruwala Hospital	False	False
Kalutara	Bandaragama	MOH Office - Bandaragama	False	False
Kalutara	Bandaragama	Rerukana Maternity Clinic	False	False
Kalutara	Millaniya	MOH Office - Millaniya	False	False
Kalutara	Thebuwana	Nebada Hospital	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Meegahathenna	MOH Office - Meegahathenna	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Baduraliya	Athale Vidyalaya	False	False
Kalutara	Matugama	Weththewa Hospital	False	False
Kalutara	Horana	Base Hospital Horana	False	False
Kalutara	Ingiriya	Ingiriya Gamini Central College	False	False
Kalutara	Ingiriya	Maha Ingiriya Clinic	False	False
Kalutara	Ingiriya	Ingiriya Hospital	False	False
Kurunegala	Kurunegala	Mobile Vaccination	False	False
Kurunegala	Dankotuwa	MOH Office - Dankotuwa	False	False
Kandy	Kandy	Mobile Vaccination	False	False
Kandy	Gampola	Ulapane Rathnawali Vidyalaya	False	False
Kandy	Peradeniya	Augustawatta Youth Corps	False	False
Kandy	Peradeniya	Rajawatta Sewa Piyasa	False	False
Kandy	Peradeniya	Bharathiya Pirivena	False	False
Nuwara Eliya	Nuwara Eliya	Mobile Vaccination	False	False
Nuwara Eliya	Pundaluoya	Dansinanwatta Tamil Maha Vidyalaya	False	False
Nuwara Eliya	Matale	Matale District	False	False
Badulla	Badulla	Mobile Vaccination	False	False
Badulla	Haldummulla	MOH Office - Haldummulla	False	False
Badulla	Uva Paranagama	MOH Office - Uva Paranagama	False	False
Badulla	Bandarawela	MOH Office - Bandarawela	False	False
Moneragala	Monaragala	Mobile Vaccination	False	False
Monaragala	Hambegamuwa	Muthumala Rajamaha Viharaya	False	False
Monaragala	Hambegamuwa	Laginagala Vidyalaya	False	False
Monaragala	Dambagalla	Udumulla Central College	False	False
Monaragala	Dambagalla	Deliwa Maha Vidyalaya	False	False
Monaragala	Dambagalla	Baduluwela Primary School	False	False
Galle	Galle	Mobile Vaccination	False	False
Galle	Udugama	Udugama Maha Vidyalaya	False	False
Matara	Matara	Wewahamanduwa Vidyalaya	False	False
Matara	Matara	University of Ruhuna	False	False
Matara	Hakmana	Town Hall - Hakmana	False	False
Matara	Mawarala	Keppetipola Maha Vidyalaya	False	False
Matara	Deiyandara	Athapaththukanda Primary School	False	False
Matara	Kotawila	Kamburagamuwa Maha Vidyalaya	False	False
Matara	Gandara	MOH Office - Devinuwara	False	False
Hambantota	Hambantota	Mobile Vaccination	False	False
Hambantota	Hambantota	MOH Office - Hambantota	False	False
Hambantota	Walasmulla	MOH Office - Walasmulla	False	False
Hambantota	Weeraketiya	MOH Office - Weeraketiya	False	False
Hambantota	Katuwana	Siyarapitiya Maha Vidyalaya	False	False
