district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	False	False
Colombo	Thalangama	Diyatha Uyana	False	False
Colombo	Thalangama	MOH Office - Battaramulla	False	False
Colombo	Grandpass	Sugathadasa Outdoor Stadium	False	False
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	False
Colombo	Boralesgamuwa	MOH Office - Werahera	False	False
Colombo	Mount Lavinia	Park Road Maternity Clinic	False	False
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Wellawatta	Mobile Vaccination	False	False
Colombo	Padukka	Siripiyarathana Primary School	False	False
Colombo	Dehiwala	S. De. S. Jayasinghe Hall	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Kaduwela	MOH Office - Kaduwela	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Gampaha	MOH Office - Gampaha	False	False
Gampaha	Minuwangoda	MOH Office - Minuwangoda	False	False
Gampaha	Minuwangoda	Aluthapotha Viharaya	False	False
Gampaha	Weliweriya	Naga Piriven Viharaya	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Katana	MOH Office - Katana	False	False
Gampaha	Nittambuwa	Hubutiyawa Community Hall	False	False
Gampaha	Nittambuwa	Bopeththa Viveka Senasanaya	False	False
Gampaha	Pallewela	Muddaragama Clinic	False	False
Gampaha	Kiribathgoda	Dalugama Clinic	False	False
Gampaha	Kadawata	Gongitota Clinic	False	False
Gampaha	Biyagama	MOH Office - Biyagama	False	False
Gampaha	Negombo	Risen Christ's Church - Negombo	False	False
Gampaha	Negombo	Wijerathnam National College	False	False
Gampaha	Negombo	St. Francis De Sale's Church , Kattuwa	False	False
Gampaha	Katunayaka	Dewa Mottawa Abhayaraja Viharaya	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Divulapitiya	Dunagaha Maha Vidyalaya	False	False
Gampaha	Divulapitiya	Rayakkaramulla Walukaramaya	False	False
Gampaha	Divulapitiya	Pinnakele Viharaya	False	False
Gampaha	Divulapitiya	Udagammana Viharaya	False	False
Kalutara	Ingiriya	Ingiriya Hospital	False	False
Kalutara	Anguruwatota	MOH Office - Madurawala	False	False
Kalutara	Horana	Base Hospital - Horana	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Millaniya	MOH Office - Millaniya	False	False
Kalutara	Panadura	Mahanama Vidyalaya	False	False
Kalutara	Meegahathenna	MOH Office - Meegahathenna	False	False
Kalutara	Matugama	Weththewa Hospital	False	False
Kalutara	Matugama	MOH Office - Matugama	False	False
Kalutara	Matugama	Badugama Dharamananda Vidyalaya	False	False
