district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	False	False
Colombo	Thalangama	Diyatha Uyana	False	False
Colombo	Thalangama	MOH Office - Battaramulla	False	False
Colombo	Grandpass	Sugathadasa Outdoor Stadium	False	False
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	False
Colombo	Dehiwala	MOH Office - Dehiwala	False	False
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Borella	St. Luke's Church - Borella	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Kaduwela	MOH Office - Kaduwela	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Kosgama	Kanampella Vidyalaya	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Minuwangoda	MOH Office - Minuwangoda	False	False
Gampaha	Gampaha	Viharamahadevi Vidyalaya - Ihala Imbulpe	False	False
Gampaha	Peliyagoda	Nawalokagama Community Hall	False	False
Gampaha	Pugoda	MOH Office – Dompe	False	False
Gampaha	Pamunugama	Pamunugama Hospital	False	False
Gampaha	Seeduwa	Seeduwa Methodist Church	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Kalutara	Kalutara	NIHS	False	False
Kalutara	Thebuwana	Divisional Hospital - Neboda	False	False
Kalutara	Dodangoda	Dodangoda Hospital	False	False
Kalutara	Dodangoda	Dodangoda Eladuwa Vidyalaya	False	False
Kalutara	Wadduwa	MOH Office - Wadduwa	False	False
Kalutara	Millaniya	MOH Office - Millaniya	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Matugama	Weththewa Hospital	False	False
Kalutara	Matugama	Katuhena Hospital	False	False
Kalutara	Matugama	MOH Office - Matugama	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Beruwala	MOH Office - Beruwala	False	False
Kalutara	Bulathsinhala	MOH Office - Bulathsinhala	False	False
Kalutara	Bandragama	MOH Office - Bandaragama	False	False
Kalutara	Panadura South	Mahanama Vidyalaya	False	False
Kalutara	Mawathagama	Samodaya Hall	False	False
Kurunegala	Polgahawela	Pothuhera Dutugemunu Vidyalaya	False	False
Puttalam	Marawila	MOH Office - Nattandiya	False	False
Puttalam	Wennappuwa	Lunuwila Buddhist Primary School	False	False
Puttalam	Wennappuwa	St. Anne's Maha Vidyalaya	False	False
Puttalam	Dankotuwa	MOH Office - Dankotuwa	False	False
Puttalam	Puttalam	Town Hall – Puttalam	False	False
Puttalam	Hanguranketha	Diyathilaka Central College	False	False
Nuwara Eliya	Mathurata	MOH Office - Munakola	False	False
