district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	True	True
Colombo	Thalangama	Diyatha Uyana	True	True
Colombo	Grandpass	Sugathadasa Outdoor Stadium	True	True
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	True
Colombo	Borella	St. Luke's Church - Borella	False	False
Colombo	Maradana	National Hospital - Colombo	False	False
Colombo	Mount Lavinia	Children Park Maternity Clinic	False	False
Colombo	Wellawatta	MOH Office – Wellawatta	False	False
Colombo	Wellampitiya	MOH Office – Kolonnawa	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Kaduwela	MOH Office – Kaduwela	False	False
Colombo	Fore shore	MOH Office - Jinthupitiya	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Gampaha	Minuwangoda	MOH Office – Minuwangoda	False	False
Gampaha	Biyagama	MOH Office – Biyagama	False	False
Gampaha	Kiribathgoda	Dalugama Clinic	False	False
Gampaha	Nittambuwa	MOH Office - Aththanagalla	False	False
Gampaha	Weeragula	Gorakadeniya Viharaya	False	False
Gampaha	Mirigama	Youth Resort Hall -Mirigama	False	False
Gampaha	Katana	MOH Office – Katana	False	False
Gampaha	Kadawata	Kirillawala Central College	False	False
Gampaha	Negombo	Town Hall – Negombo	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office – Wattala	False	False
Gampaha	Ragama	MOH Office – Ragama	False	False
Gampaha	Divulapitiya	MOH Office – Divulapitiya	False	False
Kalutara	Kalutara	NIHS	False	False
Kalutara	Thebuwana	Divisional Hospital – Neboda	False	False
Kalutara	Dodangoda	MOH Office – Dodangoda	False	False
Kalutara	Dodangoda	Dodangoda Hospital	False	False
Kalutara	Matugama	MOH Office – Matugama	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Bulathsinhala	Bulathsinhala Auditorium	False	False
Kalutara	Welipenna	MOH Office - Welipenna	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Bandragama	Pinwala Maternity Clinic	False	False
Kalutara	Bandragama	Madupitiya Community Hall	False	False
Kalutara	Millaniya	MOH Office – Millaniya	False	False
Kurunegala	Kurunegala	Mobile Medical Team	False	False
Kurunegala	Kurunegala	Indulgodakanda Viharaya	False	False
Kurunegala	Kurunegala	Teaching Hospital - Kurunegala	False	False
Kurunegala	Kuliyapitiya	Teaching Hospital - Kuliyapitiyaala	False	False
Kurunegala	Kuliyapitiya	MOH Office – Kuliyapitiya	False	False
Kurunegala	Dummalasuriya	MOH Office - Udubaddawa	False	False
Kurunegala	Pannala	Kithalahitiyawa Vidyalaya	False	False
Kurunegala	Pannala	Daraluwa Vidyalaya	False	False
Kurunegala	Kandanegedara	Kandanegedara Vidyalaya	False	False
Kurunegala	Rasnayakapura	MOH Office – Rasnayakapura	False	False
Kurunegala	Gokarella	Model College - Ibbagamuwa	False	False
Kurunegala	Alawwa	Medagampola Maha Vidyalaya	False	False
Kurunegala	Wariyapola	Kelegama Vidyalaya	False	False
Puttalam	Chilaw	Karavitagara Vidyalaya	False	False
Puttalam	Chilaw	Punchi Vilaththawa Primary School	False	False
Puttalam	Chilaw	Maradankulama Vidyalaya	False	False
Puttalam	Arachchikattuwa	Nalladarankattuwa Viharaya	False	False
