district	police	center	dose1	dose2
Colombo	Cinnamon Gardens	Viharamahadevi Park	True	True
Colombo	Narahenpita	Army Hospital Narahenpita	False	False
Colombo	Narahenpita	Army Headquarters Mobile Team	False	False
Colombo	Thalangama	Diyatha Uyana	True	True
Colombo	Maradana	Mobile Medical Team	True	True
Colombo	Boralesgamuwa	Kotelawala Defence Hospital	False	True
Colombo	Boralesgamuwa	MOH Office - Werahera	False	False
Colombo	Grandpass	Sugathadasa Outdoor Stadium	True	True
Colombo	Borella	St. Luke's Church - Borella	False	False
Colombo	Fore shore	MOH Office - Jinthupitiya	False	False
Colombo	Wellampitiya	MOH Office - Kolonnawa	False	False
Colombo	Mulleriyawa	MOH Office - Gothatuwa	False	False
Colombo	Kosgama	Kosgama Hospital	False	False
Colombo	Kaduwela	MOH Office - Kaduwela	False	False
Gampaha	Gampaha	Mobile Medical Team	True	True
Gampaha	Gampaha	Mudungoda Viharaya	False	False
Gampaha	Gampaha	MOH Office - Gampaha	False	False
Gampaha	Katunayaka	BOI - Katunayaka - CCL	False	False
Gampaha	Weliweriya	Weliweriya Central College	False	False
Gampaha	Weliweriya	Wilabula Primary School	False	False
Gampaha	Kadawata	Pradeshiya Shabha - Mahara	False	False
Gampaha	Pugoda	MOH Office - Dompe	False	False
Gampaha	Minuwangoda	MOH Office - Minuwangoda	False	False
Gampaha	Divulapitiya	MOH Office - Divulapitiya	False	False
Gampaha	Katana	MOH Office - Katana	False	False
Gampaha	Mirigama	Superintendent  Medical Health Office	False	False
Gampaha	Nittambuwa	Superintendent  Medical Health Office	False	False
Gampaha	Dungalpitiya	MOH Office - Negombo	False	False
Gampaha	Kiribathgoda	Wedikanda Viharaya	False	False
Gampaha	Kiribathgoda	Welegoda Hindu Vidyalaya	False	False
Gampaha	Biyagama	Bollegala Vidyalaya	False	False
Gampaha	Biyagama	Yabaraluwa Viharaya	False	False
Gampaha	Ja Ela	MOH Office - Ja Ela	False	False
Gampaha	Wattala	MOH Office - Wattala	False	False
Gampaha	Ragama	MOH Office - Ragama	False	False
Kalutara	Kalutara South	Mobile Medical Team	True	True
Kalutara	Kalutara South	GN - Kithulawa	False	False
Kalutara	Kalutara South	Nagoda South Community Hall	False	False
Kalutara	Kalutara South	Hunuwatta Shailaramaya	False	False
Kalutara	Kalutara South	Galassa Community Hall	False	False
Kalutara	Kalutara South	NIHS	False	False
Kalutara	Beruwala	MOH Office - Beruwala	False	False
Kalutara	Dodangoda	MOH Office - Dodangoda	False	False
Kalutara	Matugama	MOH Office - Matugama	False	False
Kalutara	Matugama	Katugahahena Hospital	False	False
Kalutara	Matugama	Horawala Medical Centre	False	False
Kalutara	Matugama	Weththewa Hospital	False	False
Kalutara	Baduraliya	Baduraliya Hospital	False	False
Kalutara	Baduraliya	MOH Office - Baduraliya	False	False
Kalutara	Panadura	Walana Maha Vidyalaya	False	False
Kalutara	Bulathsinhala	MOH Office - Bulathsinhala	False	False
Kalutara	Bulathsinhala	MOH Office - Bulathsinhala	False	False
Kalutara	Agalawatta	Pimbura Hospital	False	False
Kalutara	Millaniya	MOH Office - Millaniya	False	False
Kalutara	Bandaragama	Walgama Saddathissa Vidyalaya	False	False
Kalutara	Meegahathenna	MOH Office - Meegahathenna	False	False
